Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,exponential,0.1,40,164,STATIC,358.39,7, 2, 0, 17, 3, 6, 0, 4, 2, 0, 0, 2, 3, 3, 0, 5, 0, 12, 6, 1, 9, 0, 1, 0, 0, 9, 6,{c5.2xlarge=7; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=17; d3.2xlarge=3; d3.xlarge=6; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=3; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=6; r5.large=1; r5.xlarge=9; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=6}
chipseq,exponential,0.1,40,164,NOML,332.47999999999996,12, 5, 0, 19, 2, 7, 0, 6, 0, 0, 0, 4, 4, 1, 0, 3, 0, 2, 6, 2, 7, 5, 3, 0, 0, 6, 4,{c5.2xlarge=12; c5.xlarge=5; c5a.2xlarge=0; c5a.xlarge=19; d3.2xlarge=2; d3.xlarge=7; i3.2xlarge=0; i3.large=6; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=4; m5a.large=1; m5a.xlarge=0; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=6; r5.large=2; r5.xlarge=7; r5a.2xlarge=5; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=4}
chipseq,exponential,0.1,40,164,TEXTDISTANCE,549.5699999999999,11, 2, 0, 10, 4, 6, 0, 5, 2, 0, 0, 7, 11, 3, 0, 5, 0, 3, 3, 2, 10, 4, 2, 0, 0, 4, 4,{c5.2xlarge=11; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=4; d3.xlarge=6; i3.2xlarge=0; i3.large=5; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=7; m5a.2xlarge=11; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=3; r5.large=2; r5.xlarge=10; r5a.2xlarge=4; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=4}
chipseq,exponential,0.1,40,164,CRITICALPATH,332.47999999999996,10, 1, 0, 21, 4, 8, 0, 8, 4, 0, 0, 2, 3, 3, 0, 4, 0, 4, 5, 1, 8, 0, 2, 0, 0, 6, 4,{c5.2xlarge=10; c5.xlarge=1; c5a.2xlarge=0; c5a.xlarge=21; d3.2xlarge=4; d3.xlarge=8; i3.2xlarge=0; i3.large=8; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=3; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=5; r5.large=1; r5.xlarge=8; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=4}
chipseq,exponential,0.1,40,164,CRITICALPATHREVERSE,486.14,8, 3, 0, 23, 4, 6, 0, 4, 0, 0, 0, 2, 3, 2, 0, 5, 0, 5, 4, 3, 6, 1, 2, 0, 0, 10, 7,{c5.2xlarge=8; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=23; d3.2xlarge=4; d3.xlarge=6; i3.2xlarge=0; i3.large=4; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=3; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=4; r5.large=3; r5.xlarge=6; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=10; z1d.xlarge=7}
chipseq,exponential,0.1,40,164,RESHIV2,333.28999999999996,11, 2, 0, 22, 5, 9, 0, 4, 4, 0, 0, 4, 1, 2, 0, 4, 0, 2, 3, 4, 8, 0, 1, 0, 0, 8, 4,{c5.2xlarge=11; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=22; d3.2xlarge=5; d3.xlarge=9; i3.2xlarge=0; i3.large=4; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=3; r5.large=4; r5.xlarge=8; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=4}
chipseq,exponential,0.1,40,164,RESHIV3,333.28999999999996,11, 2, 0, 22, 5, 10, 0, 4, 3, 0, 0, 4, 1, 2, 0, 4, 0, 2, 3, 4, 8, 0, 1, 0, 0, 8, 4,{c5.2xlarge=11; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=22; d3.2xlarge=5; d3.xlarge=10; i3.2xlarge=0; i3.large=4; i3.xlarge=3; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=3; r5.large=4; r5.xlarge=8; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=4}
chipseq,exponential,0.1,40,164,RESHIMAX,488.5199999999999,8, 4, 0, 18, 5, 11, 0, 7, 0, 0, 0, 2, 3, 2, 0, 4, 0, 3, 3, 3, 6, 1, 3, 0, 0, 7, 8,{c5.2xlarge=8; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=18; d3.2xlarge=5; d3.xlarge=11; i3.2xlarge=0; i3.large=7; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=3; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=3; r5.large=3; r5.xlarge=6; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=7; z1d.xlarge=8}
chipseq,exponential,0.1,40,164,RESHIFCFS,354.9699999999999,11, 4, 0, 24, 3, 6, 0, 5, 3, 0, 0, 3, 1, 1, 0, 5, 0, 4, 3, 3, 5, 0, 2, 0, 0, 10, 5,{c5.2xlarge=11; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=24; d3.2xlarge=3; d3.xlarge=6; i3.2xlarge=0; i3.large=5; i3.xlarge=3; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=1; m5a.large=1; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=3; r5.large=3; r5.xlarge=5; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=10; z1d.xlarge=5}
chipseq,exponential,0.1,40,165,MINMIN,347.60999999999996,12, 4, 0, 20, 3, 6, 0, 4, 3, 0, 0, 2, 0, 1, 0, 4, 0, 5, 6, 2, 5, 1, 1, 0, 0, 12, 7,{c5.2xlarge=12; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=20; d3.2xlarge=3; d3.xlarge=6; i3.2xlarge=0; i3.large=4; i3.xlarge=3; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=6; r5.large=2; r5.xlarge=5; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=12; z1d.xlarge=7}
