Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.1,40,0,MINMIN,353.63999999999993,0, 10, 14, 12, 8, 4, 1, 1, 0, 4, 2, 6, 1, 0, 2, 12, 0, 8, 0, 2, 2, 0, 3, 2, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=14; c5a.xlarge=12; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
chipseq,normal,0.1,40,0,MAXMIN,473.96,0, 8, 9, 7, 6, 4, 2, 2, 0, 3, 5, 9, 2, 0, 2, 13, 0, 5, 0, 2, 5, 3, 6, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=9; c5a.xlarge=7; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=5; m5.xlarge=9; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=5; r5a.2xlarge=3; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,MCT,353.4,0, 10, 14, 9, 4, 4, 1, 1, 0, 3, 5, 6, 1, 0, 2, 19, 0, 6, 0, 2, 4, 0, 5, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=14; c5a.xlarge=9; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=5; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,ROUNDROBIN,561.6899999999999,0, 6, 10, 6, 8, 7, 1, 1, 0, 5, 9, 1, 8, 0, 3, 9, 0, 1, 0, 1, 7, 4, 9, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=6; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=5; m5.large=9; m5.xlarge=1; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=7; r5a.2xlarge=4; r5a.large=9; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,STATIC,346.96999999999997,0, 9, 13, 11, 5, 4, 0, 3, 0, 4, 4, 6, 1, 0, 2, 16, 0, 7, 0, 1, 5, 1, 4, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=5; d3.xlarge=4; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=1; r5.xlarge=5; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,NOML,335.22999999999996,0, 11, 14, 10, 3, 2, 0, 1, 0, 6, 3, 7, 6, 0, 6, 7, 0, 2, 0, 2, 4, 5, 3, 6, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=14; c5a.xlarge=10; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=6; m5.large=3; m5.xlarge=7; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=5; r5a.large=3; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,TEXTDISTANCE,354.5399999999999,0, 5, 11, 6, 4, 2, 2, 3, 0, 7, 8, 12, 4, 0, 4, 7, 0, 4, 0, 2, 7, 3, 5, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=11; c5a.xlarge=6; d3.2xlarge=4; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=8; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=2; r5.xlarge=7; r5a.2xlarge=3; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,CRITICALPATH,336.04999999999995,0, 4, 15, 12, 6, 4, 2, 2, 0, 4, 4, 8, 1, 0, 5, 11, 0, 1, 0, 4, 4, 0, 7, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=15; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=8; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,CRITICALPATHREVERSE,487.96,0, 8, 15, 13, 5, 6, 0, 1, 0, 4, 5, 5, 2, 0, 2, 14, 0, 6, 0, 2, 4, 0, 4, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=15; c5a.xlarge=13; d3.2xlarge=5; d3.xlarge=6; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=5; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,RESHIV2,336.04999999999995,0, 4, 15, 12, 6, 4, 1, 1, 0, 2, 9, 10, 1, 0, 2, 12, 0, 5, 0, 4, 5, 0, 3, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=15; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=9; m5.xlarge=10; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=5; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,RESHIV3,336.04999999999995,0, 4, 15, 12, 6, 5, 2, 1, 0, 2, 9, 10, 1, 0, 2, 12, 0, 3, 0, 4, 4, 0, 3, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=15; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=9; m5.xlarge=10; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,RESHIMAX,489.23999999999995,0, 7, 11, 8, 11, 8, 1, 2, 0, 2, 8, 9, 1, 0, 2, 10, 0, 2, 0, 4, 4, 0, 3, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=11; c5a.xlarge=8; d3.2xlarge=11; d3.xlarge=8; i3.2xlarge=1; i3.large=2; i3.xlarge=0; m5.2xlarge=2; m5.large=8; m5.xlarge=9; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,RESHIFCFS,353.03,0, 7, 16, 16, 5, 4, 1, 1, 0, 2, 8, 7, 1, 0, 2, 13, 0, 5, 0, 2, 2, 0, 4, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=16; c5a.xlarge=16; d3.2xlarge=5; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=8; m5.xlarge=7; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,1,MINMIN,353.53,0, 8, 16, 12, 6, 4, 1, 3, 0, 4, 5, 5, 1, 0, 2, 15, 0, 6, 0, 1, 4, 0, 3, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=16; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=5; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=1; r5.xlarge=4; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,1,MAXMIN,491.7199999999999,4, 4, 2, 0, 0, 7, 2, 2, 5, 4, 4, 0, 1, 5, 0, 0, 4, 17, 10, 6, 0, 0, 5, 0, 0, 6, 10,{c5.2xlarge=4; c5.xlarge=4; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=7; i3.2xlarge=2; i3.large=2; i3.xlarge=5; m5.2xlarge=4; m5.large=4; m5.xlarge=0; m5a.2xlarge=1; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=4; m5zn.xlarge=17; r5.2xlarge=10; r5.large=6; r5.xlarge=0; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=10}
chipseq,normal,0.1,40,1,MCT,409.92999999999995,4, 3, 5, 0, 0, 9, 1, 3, 5, 3, 2, 0, 0, 2, 0, 0, 9, 18, 5, 6, 0, 0, 3, 1, 0, 9, 10,{c5.2xlarge=4; c5.xlarge=3; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=9; i3.2xlarge=1; i3.large=3; i3.xlarge=5; m5.2xlarge=3; m5.large=2; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=9; m5zn.xlarge=18; r5.2xlarge=5; r5.large=6; r5.xlarge=0; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=10}
chipseq,normal,0.1,40,1,ROUNDROBIN,468.92999999999995,1, 2, 4, 0, 0, 8, 5, 2, 2, 5, 2, 0, 1, 9, 0, 0, 8, 15, 4, 4, 0, 0, 7, 2, 0, 8, 9,{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=8; i3.2xlarge=5; i3.large=2; i3.xlarge=2; m5.2xlarge=5; m5.large=2; m5.xlarge=0; m5a.2xlarge=1; m5a.large=9; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=8; m5zn.xlarge=15; r5.2xlarge=4; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=9}
chipseq,normal,0.1,40,1,STATIC,460.0899999999999,4, 2, 3, 0, 0, 6, 2, 1, 2, 2, 2, 0, 1, 5, 0, 0, 5, 32, 6, 4, 0, 0, 4, 1, 0, 9, 7,{c5.2xlarge=4; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=6; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=2; m5.large=2; m5.xlarge=0; m5a.2xlarge=1; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=5; m5zn.xlarge=32; r5.2xlarge=6; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=7}
chipseq,normal,0.1,40,1,NOML,491.96,7, 5, 5, 0, 0, 5, 2, 0, 0, 7, 1, 0, 3, 2, 0, 0, 5, 10, 11, 8, 0, 0, 8, 1, 0, 8, 10,{c5.2xlarge=7; c5.xlarge=5; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=5; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=1; m5.xlarge=0; m5a.2xlarge=3; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=5; m5zn.xlarge=10; r5.2xlarge=11; r5.large=8; r5.xlarge=0; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=10}
chipseq,normal,0.1,40,1,TEXTDISTANCE,503.43999999999994,6, 4, 3, 0, 0, 8, 1, 1, 5, 10, 6, 0, 2, 8, 0, 0, 3, 12, 10, 3, 0, 0, 8, 1, 0, 0, 7,{c5.2xlarge=6; c5.xlarge=4; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=8; i3.2xlarge=1; i3.large=1; i3.xlarge=5; m5.2xlarge=10; m5.large=6; m5.xlarge=0; m5a.2xlarge=2; m5a.large=8; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=12; r5.2xlarge=10; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7}
chipseq,normal,0.1,40,1,CRITICALPATH,401.29999999999995,5, 1, 5, 0, 0, 6, 3, 2, 5, 4, 1, 0, 0, 5, 0, 0, 7, 19, 7, 10, 0, 0, 4, 1, 0, 5, 8,{c5.2xlarge=5; c5.xlarge=1; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=6; i3.2xlarge=3; i3.large=2; i3.xlarge=5; m5.2xlarge=4; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=7; m5zn.xlarge=19; r5.2xlarge=7; r5.large=10; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=8}
chipseq,normal,0.1,40,1,CRITICALPATHREVERSE,500.7099999999999,5, 3, 4, 0, 0, 6, 1, 1, 0, 2, 3, 0, 1, 2, 0, 0, 9, 20, 7, 6, 0, 0, 5, 1, 0, 11, 11,{c5.2xlarge=5; c5.xlarge=3; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=6; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=3; m5.xlarge=0; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=9; m5zn.xlarge=20; r5.2xlarge=7; r5.large=6; r5.xlarge=0; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=11; z1d.xlarge=11}
chipseq,normal,0.1,40,1,RESHIV2,397.69999999999993,5, 2, 5, 0, 0, 9, 1, 1, 1, 4, 3, 0, 0, 2, 0, 0, 6, 19, 6, 12, 0, 0, 4, 1, 0, 9, 8,{c5.2xlarge=5; c5.xlarge=2; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=9; i3.2xlarge=1; i3.large=1; i3.xlarge=1; m5.2xlarge=4; m5.large=3; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=6; m5zn.xlarge=19; r5.2xlarge=6; r5.large=12; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=8}
chipseq,normal,0.1,40,1,RESHIV3,397.69999999999993,5, 2, 5, 0, 0, 9, 1, 1, 1, 4, 4, 0, 0, 2, 0, 0, 6, 19, 6, 12, 0, 0, 4, 1, 0, 8, 8,{c5.2xlarge=5; c5.xlarge=2; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=9; i3.2xlarge=1; i3.large=1; i3.xlarge=1; m5.2xlarge=4; m5.large=4; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=6; m5zn.xlarge=19; r5.2xlarge=6; r5.large=12; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=8}
chipseq,normal,0.1,40,1,RESHIMAX,499.44999999999993,4, 4, 4, 0, 0, 7, 0, 3, 6, 3, 4, 0, 0, 4, 0, 0, 5, 15, 4, 10, 0, 0, 4, 2, 0, 8, 11,{c5.2xlarge=4; c5.xlarge=4; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=7; i3.2xlarge=0; i3.large=3; i3.xlarge=6; m5.2xlarge=3; m5.large=4; m5.xlarge=0; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=5; m5zn.xlarge=15; r5.2xlarge=4; r5.large=10; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=11}
