Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.0,40,90,RESHIFCFS,335.8999999999999,19, 2, 13, 16, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 4, 14, 4, 0, 4, 3, 0, 1, 1, 0, 4, 7,{c5.2xlarge=19; c5.xlarge=2; c5a.2xlarge=13; c5a.xlarge=16; d3.2xlarge=1; d3.xlarge=1; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=14; m5zn.xlarge=4; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=7}
chipseq,normal,0.0,40,91,MINMIN,400.25,26, 2, 8, 10, 1, 1, 0, 1, 0, 2, 2, 0, 0, 2, 0, 8, 11, 7, 0, 2, 2, 0, 1, 0, 0, 4, 8,{c5.2xlarge=26; c5.xlarge=2; c5a.2xlarge=8; c5a.xlarge=10; d3.2xlarge=1; d3.xlarge=1; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=11; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=8}
chipseq,normal,0.0,40,91,MAXMIN,474.78,10, 11, 0, 6, 10, 2, 0, 6, 4, 4, 2, 12, 2, 0, 1, 10, 0, 3, 3, 0, 0, 0, 1, 4, 0, 5, 2,{c5.2xlarge=10; c5.xlarge=11; c5a.2xlarge=0; c5a.xlarge=6; d3.2xlarge=10; d3.xlarge=2; i3.2xlarge=0; i3.large=6; i3.xlarge=4; m5.2xlarge=4; m5.large=2; m5.xlarge=12; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=3; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=2}
chipseq,normal,0.0,40,91,MCT,341.45,10, 12, 0, 10, 5, 3, 0, 3, 2, 2, 3, 14, 0, 0, 1, 11, 0, 6, 1, 0, 0, 0, 2, 1, 0, 10, 2,{c5.2xlarge=10; c5.xlarge=12; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=5; d3.xlarge=3; i3.2xlarge=0; i3.large=3; i3.xlarge=2; m5.2xlarge=2; m5.large=3; m5.xlarge=14; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=1; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=10; z1d.xlarge=2}
chipseq,normal,0.0,40,91,ROUNDROBIN,823.4399999999999,4, 9, 0, 3, 9, 1, 0, 10, 8, 2, 0, 10, 4, 0, 6, 4, 0, 5, 2, 0, 0, 0, 4, 9, 0, 8, 0,{c5.2xlarge=4; c5.xlarge=9; c5a.2xlarge=0; c5a.xlarge=3; d3.2xlarge=9; d3.xlarge=1; i3.2xlarge=0; i3.large=10; i3.xlarge=8; m5.2xlarge=2; m5.large=0; m5.xlarge=10; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=0}
chipseq,normal,0.0,40,91,STATIC,321.10999999999996,10, 6, 0, 8, 9, 1, 0, 7, 0, 4, 1, 21, 2, 0, 1, 10, 0, 3, 2, 0, 0, 0, 1, 2, 0, 6, 4,{c5.2xlarge=10; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=8; d3.2xlarge=9; d3.xlarge=1; i3.2xlarge=0; i3.large=7; i3.xlarge=0; m5.2xlarge=4; m5.large=1; m5.xlarge=21; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=4}
chipseq,normal,0.0,40,91,NOML,332.03999999999996,12, 14, 0, 9, 4, 2, 0, 5, 0, 6, 2, 11, 6, 0, 3, 4, 0, 2, 2, 0, 0, 0, 3, 5, 0, 6, 2,{c5.2xlarge=12; c5.xlarge=14; c5a.2xlarge=0; c5a.xlarge=9; d3.2xlarge=4; d3.xlarge=2; i3.2xlarge=0; i3.large=5; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=11; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=2}
chipseq,normal,0.0,40,91,TEXTDISTANCE,506.06999999999994,9, 9, 0, 6, 5, 2, 0, 7, 1, 7, 7, 20, 3, 0, 2, 5, 0, 4, 3, 0, 0, 0, 3, 2, 0, 2, 1,{c5.2xlarge=9; c5.xlarge=9; c5a.2xlarge=0; c5a.xlarge=6; d3.2xlarge=5; d3.xlarge=2; i3.2xlarge=0; i3.large=7; i3.xlarge=1; m5.2xlarge=7; m5.large=7; m5.xlarge=20; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=3; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=1}
chipseq,normal,0.0,40,91,CRITICALPATH,347.47999999999996,10, 5, 0, 12, 8, 2, 0, 5, 3, 4, 1, 13, 1, 0, 1, 10, 0, 4, 2, 0, 0, 0, 4, 5, 0, 5, 3,{c5.2xlarge=10; c5.xlarge=5; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=8; d3.xlarge=2; i3.2xlarge=0; i3.large=5; i3.xlarge=3; m5.2xlarge=4; m5.large=1; m5.xlarge=13; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
chipseq,normal,0.0,40,91,CRITICALPATHREVERSE,485.35999999999996,9, 10, 0, 12, 7, 2, 0, 3, 0, 2, 3, 9, 1, 0, 1, 9, 0, 6, 2, 0, 0, 0, 4, 2, 0, 11, 5,{c5.2xlarge=9; c5.xlarge=10; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=7; d3.xlarge=2; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=2; m5.large=3; m5.xlarge=9; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=11; z1d.xlarge=5}
