Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,exponential,0.05,40,106,RESHIMAX,529.1099999999999,69, 0, 5, 0, 8, 7, 0, 1, 0, 15, 0, 3, 0, 5, 0, 28, 31, 0, 0, 0, 8, 0, 1, 0, 8, 0, 16,{c5.2xlarge=69; c5.xlarge=0; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=15; m5.large=0; m5.xlarge=3; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=28; m5zn.large=31; m5zn.xlarge=0; r5.2xlarge=0; r5.large=0; r5.xlarge=8; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=8; z1d.large=0; z1d.xlarge=16}
viralrecon,exponential,0.05,40,106,RESHIFCFS,585.2399999999999,94, 0, 14, 0, 4, 6, 0, 1, 0, 6, 0, 4, 1, 0, 0, 26, 29, 0, 0, 0, 4, 0, 1, 0, 7, 0, 8,{c5.2xlarge=94; c5.xlarge=0; c5a.2xlarge=14; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=6; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=6; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=26; m5zn.large=29; m5zn.xlarge=0; r5.2xlarge=0; r5.large=0; r5.xlarge=4; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=0; z1d.xlarge=8}
viralrecon,exponential,0.05,40,107,MINMIN,567.8299999999998,39, 0, 9, 0, 3, 2, 0, 0, 0, 17, 0, 2, 4, 35, 3, 15, 30, 0, 0, 0, 16, 5, 3, 9, 2, 0, 12,{c5.2xlarge=39; c5.xlarge=0; c5a.2xlarge=9; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=17; m5.large=0; m5.xlarge=2; m5a.2xlarge=4; m5a.large=35; m5a.xlarge=3; m5zn.2xlarge=15; m5zn.large=30; m5zn.xlarge=0; r5.2xlarge=0; r5.large=0; r5.xlarge=16; r5a.2xlarge=5; r5a.large=3; r5a.xlarge=9; z1d.2xlarge=2; z1d.large=0; z1d.xlarge=12}
viralrecon,exponential,0.05,40,107,MAXMIN,574.4999999999999,12, 13, 18, 0, 9, 9, 0, 0, 0, 3, 0, 0, 0, 5, 24, 0, 17, 0, 19, 8, 5, 2, 2, 12, 4, 14, 30,{c5.2xlarge=12; c5.xlarge=13; c5a.2xlarge=18; c5a.xlarge=0; d3.2xlarge=9; d3.xlarge=9; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=24; m5zn.2xlarge=0; m5zn.large=17; m5zn.xlarge=0; r5.2xlarge=19; r5.large=8; r5.xlarge=5; r5a.2xlarge=2; r5a.large=2; r5a.xlarge=12; z1d.2xlarge=4; z1d.large=14; z1d.xlarge=30}
viralrecon,exponential,0.05,40,107,MCT,568.66,17, 5, 15, 0, 7, 8, 0, 0, 0, 2, 0, 0, 0, 9, 32, 0, 31, 0, 25, 6, 5, 0, 3, 5, 4, 15, 17,{c5.2xlarge=17; c5.xlarge=5; c5a.2xlarge=15; c5a.xlarge=0; d3.2xlarge=7; d3.xlarge=8; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=2; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=9; m5a.xlarge=32; m5zn.2xlarge=0; m5zn.large=31; m5zn.xlarge=0; r5.2xlarge=25; r5.large=6; r5.xlarge=5; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=5; z1d.2xlarge=4; z1d.large=15; z1d.xlarge=17}
viralrecon,exponential,0.05,40,107,ROUNDROBIN,549.7299999999998,4, 0, 2, 0, 22, 3, 0, 3, 0, 0, 0, 0, 8, 3, 24, 0, 8, 0, 45, 12, 2, 1, 4, 9, 1, 1, 54,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=22; d3.xlarge=3; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=0; m5a.2xlarge=8; m5a.large=3; m5a.xlarge=24; m5zn.2xlarge=0; m5zn.large=8; m5zn.xlarge=0; r5.2xlarge=45; r5.large=12; r5.xlarge=2; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=9; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=54}
viralrecon,exponential,0.05,40,107,STATIC,622.2699999999998,8, 6, 10, 0, 4, 3, 2, 1, 0, 3, 0, 0, 0, 4, 11, 0, 39, 0, 9, 5, 1, 0, 4, 9, 8, 13, 65,{c5.2xlarge=8; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=11; m5zn.2xlarge=0; m5zn.large=39; m5zn.xlarge=0; r5.2xlarge=9; r5.large=5; r5.xlarge=1; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=9; z1d.2xlarge=8; z1d.large=13; z1d.xlarge=65}
viralrecon,exponential,0.05,40,107,NOML,563.0299999999999,10, 18, 23, 0, 1, 1, 0, 0, 0, 4, 0, 0, 54, 13, 32, 0, 16, 0, 8, 1, 1, 0, 0, 0, 4, 11, 8,{c5.2xlarge=10; c5.xlarge=18; c5a.2xlarge=23; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=1; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=0; m5.xlarge=0; m5a.2xlarge=54; m5a.large=13; m5a.xlarge=32; m5zn.2xlarge=0; m5zn.large=16; m5zn.xlarge=0; r5.2xlarge=8; r5.large=1; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=4; z1d.large=11; z1d.xlarge=8}
viralrecon,exponential,0.05,40,107,CUSTOMCLUSTERNOML,375.34999999999997,4, 12, 8, 0, 38, 11, 1, 20, 0, 9, 0, 0, 25, 0, 0, 0, 3, 0, 52, 0, 2, 0, 0, 0, 4, 2, 14,{c5.2xlarge=4; c5.xlarge=12; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=38; d3.xlarge=11; i3.2xlarge=1; i3.large=20; i3.xlarge=0; m5.2xlarge=9; m5.large=0; m5.xlarge=0; m5a.2xlarge=25; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=52; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=4; z1d.large=2; z1d.xlarge=14}
viralrecon,exponential,0.05,40,107,TEXTDISTANCE,475.45999999999987,3, 9, 11, 0, 1, 2, 1, 1, 0, 8, 0, 0, 14, 36, 80, 0, 6, 0, 9, 6, 3, 1, 0, 2, 5, 0, 7,{c5.2xlarge=3; c5.xlarge=9; c5a.2xlarge=11; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=8; m5.large=0; m5.xlarge=0; m5a.2xlarge=14; m5a.large=36; m5a.xlarge=80; m5zn.2xlarge=0; m5zn.large=6; m5zn.xlarge=0; r5.2xlarge=9; r5.large=6; r5.xlarge=3; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=2; z1d.2xlarge=5; z1d.large=0; z1d.xlarge=7}
