Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,exponential,0.15,40,0,MINMIN,762.1899999999999,0, 6, 23, 12, 10, 16, 4, 1, 0, 8, 2, 11, 17, 0, 3, 47, 0, 7, 0, 3, 15, 5, 7, 5, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=23; c5a.xlarge=12; d3.2xlarge=10; d3.xlarge=16; i3.2xlarge=4; i3.large=1; i3.xlarge=0; m5.2xlarge=8; m5.large=2; m5.xlarge=11; m5a.2xlarge=17; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=47; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=3; r5.xlarge=15; r5a.2xlarge=5; r5a.large=7; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
viralrecon,exponential,0.15,40,0,MAXMIN,741.3699999999998,0, 8, 22, 14, 6, 10, 5, 1, 0, 7, 29, 12, 6, 0, 8, 30, 0, 8, 0, 7, 15, 7, 8, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=22; c5a.xlarge=14; d3.2xlarge=6; d3.xlarge=10; i3.2xlarge=5; i3.large=1; i3.xlarge=0; m5.2xlarge=7; m5.large=29; m5.xlarge=12; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=30; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=7; r5.xlarge=15; r5a.2xlarge=7; r5a.large=8; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,MCT,535.6999999999999,0, 11, 13, 11, 5, 13, 4, 1, 0, 4, 41, 13, 14, 0, 4, 29, 0, 11, 0, 9, 10, 2, 8, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=5; d3.xlarge=13; i3.2xlarge=4; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=41; m5.xlarge=13; m5a.2xlarge=14; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=29; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=9; r5.xlarge=10; r5a.2xlarge=2; r5a.large=8; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,ROUNDROBIN,739.4699999999997,0, 12, 17, 9, 10, 17, 2, 0, 0, 14, 53, 1, 20, 0, 5, 10, 0, 0, 0, 2, 15, 4, 10, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=17; c5a.xlarge=9; d3.2xlarge=10; d3.xlarge=17; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=14; m5.large=53; m5.xlarge=1; m5a.2xlarge=20; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=4; r5a.large=10; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,STATIC,626.1699999999998,0, 14, 17, 8, 12, 12, 1, 1, 0, 9, 58, 8, 13, 0, 7, 8, 0, 7, 0, 2, 16, 0, 8, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=17; c5a.xlarge=8; d3.2xlarge=12; d3.xlarge=12; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=9; m5.large=58; m5.xlarge=8; m5a.2xlarge=13; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=16; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,NOML,365.0099999999998,0, 21, 44, 20, 4, 0, 0, 0, 0, 35, 25, 21, 5, 0, 0, 11, 0, 5, 0, 5, 5, 2, 3, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=21; c5a.2xlarge=44; c5a.xlarge=20; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=35; m5.large=25; m5.xlarge=21; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=5; r5.xlarge=5; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,CUSTOMCLUSTERNOML,355.5099999999998,0, 14, 19, 13, 98, 5, 1, 4, 0, 21, 5, 5, 1, 0, 0, 13, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=19; c5a.xlarge=13; d3.2xlarge=98; d3.xlarge=5; i3.2xlarge=1; i3.large=4; i3.xlarge=0; m5.2xlarge=21; m5.large=5; m5.xlarge=5; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,TEXTDISTANCE,352.8599999999998,0, 6, 5, 12, 0, 1, 1, 3, 0, 24, 46, 34, 18, 0, 15, 17, 0, 10, 0, 3, 5, 3, 0, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=5; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=1; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=24; m5.large=46; m5.xlarge=34; m5a.2xlarge=18; m5a.large=0; m5a.xlarge=15; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=3; r5.xlarge=5; r5a.2xlarge=3; r5a.large=0; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,CRITICALPATH,327.91999999999985,0, 33, 68, 18, 13, 16, 1, 0, 0, 4, 4, 3, 0, 0, 0, 34, 0, 7, 0, 3, 1, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=33; c5a.2xlarge=68; c5a.xlarge=18; d3.2xlarge=13; d3.xlarge=16; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=34; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=3; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,CRITICALPATHREVERSE,451.1399999999999,0, 16, 52, 58, 11, 10, 0, 0, 0, 10, 5, 5, 0, 0, 0, 25, 0, 8, 0, 3, 2, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=52; c5a.xlarge=58; d3.2xlarge=11; d3.xlarge=10; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=10; m5.large=5; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=25; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=3; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.15,40,0,RESHIV2,448.59999999999985,0, 17, 52, 60, 13, 10, 0, 0, 0, 8, 6, 5, 0, 0, 0, 20, 0, 7, 0, 4, 4, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=17; c5a.2xlarge=52; c5a.xlarge=60; d3.2xlarge=13; d3.xlarge=10; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=8; m5.large=6; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
