Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.1,40,122,MAXMIN,526.7,7, 0, 4, 4, 0, 2, 1, 6, 2, 7, 4, 4, 1, 4, 0, 8, 2, 2, 0, 0, 2, 0, 2, 5, 17, 8, 6,{c5.2xlarge=7; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=6; i3.xlarge=2; m5.2xlarge=7; m5.large=4; m5.xlarge=4; m5a.2xlarge=1; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=2; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=5; z1d.2xlarge=17; z1d.large=8; z1d.xlarge=6}
chipseq,normal,0.1,40,122,MCT,456.65999999999997,9, 0, 4, 5, 0, 2, 1, 6, 1, 2, 2, 4, 0, 2, 1, 10, 9, 3, 0, 0, 1, 0, 2, 1, 17, 9, 7,{c5.2xlarge=9; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=6; i3.xlarge=1; m5.2xlarge=2; m5.large=2; m5.xlarge=4; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=10; m5zn.large=9; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=17; z1d.large=9; z1d.xlarge=7}
chipseq,normal,0.1,40,122,ROUNDROBIN,534.03,5, 0, 3, 7, 0, 4, 2, 2, 2, 8, 6, 4, 2, 5, 1, 5, 3, 4, 0, 0, 2, 0, 6, 3, 13, 11, 0,{c5.2xlarge=5; c5.xlarge=0; c5a.2xlarge=3; c5a.xlarge=7; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=2; m5.2xlarge=8; m5.large=6; m5.xlarge=4; m5a.2xlarge=2; m5a.large=5; m5a.xlarge=1; m5zn.2xlarge=5; m5zn.large=3; m5zn.xlarge=4; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=3; z1d.2xlarge=13; z1d.large=11; z1d.xlarge=0}
chipseq,normal,0.1,40,122,STATIC,843.16,10, 0, 11, 5, 0, 2, 1, 7, 0, 3, 2, 5, 1, 3, 0, 9, 5, 4, 0, 0, 2, 0, 3, 2, 15, 5, 4,{c5.2xlarge=10; c5.xlarge=0; c5a.2xlarge=11; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=7; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=5; m5a.2xlarge=1; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=9; m5zn.large=5; m5zn.xlarge=4; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=15; z1d.large=5; z1d.xlarge=4}
chipseq,normal,0.1,40,122,NOML,405.8999999999999,10, 0, 4, 5, 0, 2, 1, 6, 3, 4, 3, 6, 3, 3, 4, 6, 2, 2, 0, 0, 2, 0, 3, 6, 16, 5, 2,{c5.2xlarge=10; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=6; i3.xlarge=3; m5.2xlarge=4; m5.large=3; m5.xlarge=6; m5a.2xlarge=3; m5a.large=3; m5a.xlarge=4; m5zn.2xlarge=6; m5zn.large=2; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=6; z1d.2xlarge=16; z1d.large=5; z1d.xlarge=2}
chipseq,normal,0.1,40,122,CUSTOMCLUSTERNOML,449.91999999999996,8, 0, 3, 4, 0, 3, 4, 5, 2, 6, 8, 3, 1, 2, 0, 8, 4, 4, 0, 0, 4, 0, 1, 4, 14, 7, 3,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=3; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=4; i3.large=5; i3.xlarge=2; m5.2xlarge=6; m5.large=8; m5.xlarge=3; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=4; m5zn.xlarge=4; r5.2xlarge=0; r5.large=0; r5.xlarge=4; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=4; z1d.2xlarge=14; z1d.large=7; z1d.xlarge=3}
chipseq,normal,0.1,40,122,TEXTDISTANCE,420.27,8, 0, 4, 3, 0, 2, 2, 5, 0, 8, 6, 8, 2, 4, 1, 8, 4, 2, 0, 0, 3, 0, 6, 5, 14, 1, 2,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=3; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=5; i3.xlarge=0; m5.2xlarge=8; m5.large=6; m5.xlarge=8; m5a.2xlarge=2; m5a.large=4; m5a.xlarge=1; m5zn.2xlarge=8; m5zn.large=4; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=14; z1d.large=1; z1d.xlarge=2}
chipseq,normal,0.1,40,122,CRITICALPATH,525.1899999999999,8, 0, 4, 5, 0, 4, 6, 6, 2, 4, 2, 7, 1, 4, 2, 7, 6, 3, 0, 0, 1, 0, 4, 2, 12, 4, 4,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=6; i3.large=6; i3.xlarge=2; m5.2xlarge=4; m5.large=2; m5.xlarge=7; m5a.2xlarge=1; m5a.large=4; m5a.xlarge=2; m5zn.2xlarge=7; m5zn.large=6; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=12; z1d.large=4; z1d.xlarge=4}
chipseq,normal,0.1,40,122,CRITICALPATHREVERSE,532.24,10, 0, 4, 4, 0, 2, 3, 3, 2, 4, 4, 2, 0, 3, 2, 8, 7, 6, 0, 0, 2, 0, 2, 3, 13, 8, 6,{c5.2xlarge=10; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=3; i3.large=3; i3.xlarge=2; m5.2xlarge=4; m5.large=4; m5.xlarge=2; m5a.2xlarge=0; m5a.large=3; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=7; m5zn.xlarge=6; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=3; z1d.2xlarge=13; z1d.large=8; z1d.xlarge=6}
chipseq,normal,0.1,40,122,RESHIV2,524.81,8, 0, 4, 4, 0, 4, 2, 3, 2, 4, 6, 3, 2, 2, 1, 8, 6, 3, 0, 0, 2, 0, 4, 1, 17, 8, 4,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=2; i3.large=3; i3.xlarge=2; m5.2xlarge=4; m5.large=6; m5.xlarge=3; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=8; m5zn.large=6; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=17; z1d.large=8; z1d.xlarge=4}
