Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,normal,0.15,40,124,MCT,649.8599999999999,9, 2, 27, 37, 3, 8, 4, 3, 0, 0, 0, 7, 8, 0, 18, 0, 6, 9, 5, 11, 12, 7, 8, 1, 0, 15, 6,{c5.2xlarge=9; c5.xlarge=2; c5a.2xlarge=27; c5a.xlarge=37; d3.2xlarge=3; d3.xlarge=8; i3.2xlarge=4; i3.large=3; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=7; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=18; m5zn.2xlarge=0; m5zn.large=6; m5zn.xlarge=9; r5.2xlarge=5; r5.large=11; r5.xlarge=12; r5a.2xlarge=7; r5a.large=8; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=15; z1d.xlarge=6}
viralrecon,normal,0.15,40,124,ROUNDROBIN,609.8499999999998,0, 0, 3, 52, 17, 11, 8, 3, 5, 0, 0, 0, 9, 0, 22, 0, 0, 1, 4, 27, 6, 18, 11, 1, 0, 2, 5,{c5.2xlarge=0; c5.xlarge=0; c5a.2xlarge=3; c5a.xlarge=52; d3.2xlarge=17; d3.xlarge=11; i3.2xlarge=8; i3.large=3; i3.xlarge=5; m5.2xlarge=0; m5.large=0; m5.xlarge=0; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=22; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=4; r5.large=27; r5.xlarge=6; r5a.2xlarge=18; r5a.large=11; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=5}
viralrecon,normal,0.15,40,124,STATIC,517.5099999999999,11, 2, 18, 17, 15, 4, 0, 1, 0, 0, 0, 6, 3, 0, 42, 0, 15, 10, 4, 10, 10, 1, 10, 0, 0, 22, 4,{c5.2xlarge=11; c5.xlarge=2; c5a.2xlarge=18; c5a.xlarge=17; d3.2xlarge=15; d3.xlarge=4; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=0; m5zn.large=15; m5zn.xlarge=10; r5.2xlarge=4; r5.large=10; r5.xlarge=10; r5a.2xlarge=1; r5a.large=10; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=22; z1d.xlarge=4}
viralrecon,normal,0.15,40,124,NOML,328.53,8, 10, 21, 8, 10, 4, 8, 3, 0, 0, 0, 13, 7, 0, 7, 0, 14, 9, 11, 12, 13, 10, 5, 6, 0, 15, 11,{c5.2xlarge=8; c5.xlarge=10; c5a.2xlarge=21; c5a.xlarge=8; d3.2xlarge=10; d3.xlarge=4; i3.2xlarge=8; i3.large=3; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=13; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=0; m5zn.large=14; m5zn.xlarge=9; r5.2xlarge=11; r5.large=12; r5.xlarge=13; r5a.2xlarge=10; r5a.large=5; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=15; z1d.xlarge=11}
viralrecon,normal,0.15,40,124,CUSTOMCLUSTERNOML,483.01,5, 9, 24, 14, 16, 6, 2, 4, 11, 0, 0, 7, 4, 0, 4, 0, 7, 7, 23, 7, 13, 9, 6, 8, 0, 8, 11,{c5.2xlarge=5; c5.xlarge=9; c5a.2xlarge=24; c5a.xlarge=14; d3.2xlarge=16; d3.xlarge=6; i3.2xlarge=2; i3.large=4; i3.xlarge=11; m5.2xlarge=0; m5.large=0; m5.xlarge=7; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=0; m5zn.large=7; m5zn.xlarge=7; r5.2xlarge=23; r5.large=7; r5.xlarge=13; r5a.2xlarge=9; r5a.large=6; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=11}
viralrecon,normal,0.15,40,124,TEXTDISTANCE,487.63999999999993,5, 10, 11, 17, 5, 7, 6, 9, 11, 0, 0, 13, 20, 0, 8, 0, 11, 13, 7, 9, 12, 10, 10, 3, 0, 6, 3,{c5.2xlarge=5; c5.xlarge=10; c5a.2xlarge=11; c5a.xlarge=17; d3.2xlarge=5; d3.xlarge=7; i3.2xlarge=6; i3.large=9; i3.xlarge=11; m5.2xlarge=0; m5.large=0; m5.xlarge=13; m5a.2xlarge=20; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=0; m5zn.large=11; m5zn.xlarge=13; r5.2xlarge=7; r5.large=9; r5.xlarge=12; r5a.2xlarge=10; r5a.large=10; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=3}
viralrecon,normal,0.15,40,124,CRITICALPATH,330.2299999999998,3, 6, 21, 16, 8, 8, 8, 0, 11, 0, 0, 8, 6, 0, 8, 0, 8, 11, 14, 10, 10, 5, 9, 4, 0, 21, 10,{c5.2xlarge=3; c5.xlarge=6; c5a.2xlarge=21; c5a.xlarge=16; d3.2xlarge=8; d3.xlarge=8; i3.2xlarge=8; i3.large=0; i3.xlarge=11; m5.2xlarge=0; m5.large=0; m5.xlarge=8; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=0; m5zn.large=8; m5zn.xlarge=11; r5.2xlarge=14; r5.large=10; r5.xlarge=10; r5a.2xlarge=5; r5a.large=9; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=21; z1d.xlarge=10}
viralrecon,normal,0.15,40,124,CRITICALPATHREVERSE,449.6399999999998,4, 8, 26, 16, 6, 6, 7, 10, 7, 0, 0, 8, 7, 0, 6, 0, 11, 7, 10, 11, 9, 9, 6, 9, 0, 19, 4,{c5.2xlarge=4; c5.xlarge=8; c5a.2xlarge=26; c5a.xlarge=16; d3.2xlarge=6; d3.xlarge=6; i3.2xlarge=7; i3.large=10; i3.xlarge=7; m5.2xlarge=0; m5.large=0; m5.xlarge=8; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=0; m5zn.large=11; m5zn.xlarge=7; r5.2xlarge=10; r5.large=11; r5.xlarge=9; r5a.2xlarge=9; r5a.large=6; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=19; z1d.xlarge=4}
viralrecon,normal,0.15,40,124,RESHIV2,447.6499999999999,12, 2, 14, 17, 11, 6, 8, 5, 5, 0, 0, 12, 9, 0, 7, 0, 9, 8, 10, 7, 9, 6, 13, 7, 0, 17, 11,{c5.2xlarge=12; c5.xlarge=2; c5a.2xlarge=14; c5a.xlarge=17; d3.2xlarge=11; d3.xlarge=6; i3.2xlarge=8; i3.large=5; i3.xlarge=5; m5.2xlarge=0; m5.large=0; m5.xlarge=12; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=0; m5zn.large=9; m5zn.xlarge=8; r5.2xlarge=10; r5.large=7; r5.xlarge=9; r5a.2xlarge=6; r5a.large=13; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=17; z1d.xlarge=11}
viralrecon,normal,0.15,40,124,RESHIV3,445.8699999999998,12, 3, 13, 20, 11, 5, 9, 9, 8, 0, 0, 8, 5, 0, 3, 0, 12, 9, 11, 12, 10, 8, 7, 6, 0, 19, 6,{c5.2xlarge=12; c5.xlarge=3; c5a.2xlarge=13; c5a.xlarge=20; d3.2xlarge=11; d3.xlarge=5; i3.2xlarge=9; i3.large=9; i3.xlarge=8; m5.2xlarge=0; m5.large=0; m5.xlarge=8; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=12; m5zn.xlarge=9; r5.2xlarge=11; r5.large=12; r5.xlarge=10; r5a.2xlarge=8; r5a.large=7; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=19; z1d.xlarge=6}
viralrecon,normal,0.15,40,124,RESHIMAX,331.6199999999999,9, 6, 13, 11, 10, 5, 7, 17, 6, 0, 0, 10, 5, 0, 11, 0, 7, 7, 11, 10, 12, 6, 6, 8, 0, 20, 8,{c5.2xlarge=9; c5.xlarge=6; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=10; d3.xlarge=5; i3.2xlarge=7; i3.large=17; i3.xlarge=6; m5.2xlarge=0; m5.large=0; m5.xlarge=10; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=0; m5zn.large=7; m5zn.xlarge=7; r5.2xlarge=11; r5.large=10; r5.xlarge=12; r5a.2xlarge=6; r5a.large=6; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=20; z1d.xlarge=8}
viralrecon,normal,0.15,40,124,RESHIFCFS,448.2299999999999,4, 11, 20, 15, 13, 5, 3, 9, 9, 0, 0, 10, 11, 0, 7, 0, 8, 8, 10, 11, 3, 11, 5, 9, 0, 18, 5,{c5.2xlarge=4; c5.xlarge=11; c5a.2xlarge=20; c5a.xlarge=15; d3.2xlarge=13; d3.xlarge=5; i3.2xlarge=3; i3.large=9; i3.xlarge=9; m5.2xlarge=0; m5.large=0; m5.xlarge=10; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=0; m5zn.large=8; m5zn.xlarge=8; r5.2xlarge=10; r5.large=11; r5.xlarge=3; r5a.2xlarge=11; r5a.large=5; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=18; z1d.xlarge=5}
viralrecon,normal,0.15,40,125,MINMIN,549.9499999999999,6, 3, 21, 37, 15, 5, 3, 0, 1, 0, 0, 8, 4, 0, 19, 0, 10, 7, 5, 12, 11, 2, 11, 3, 0, 15, 8,{c5.2xlarge=6; c5.xlarge=3; c5a.2xlarge=21; c5a.xlarge=37; d3.2xlarge=15; d3.xlarge=5; i3.2xlarge=3; i3.large=0; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=8; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=19; m5zn.2xlarge=0; m5zn.large=10; m5zn.xlarge=7; r5.2xlarge=5; r5.large=12; r5.xlarge=11; r5a.2xlarge=2; r5a.large=11; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=15; z1d.xlarge=8}
viralrecon,normal,0.15,40,125,MAXMIN,519.5799999999999,12, 7, 9, 40, 0, 14, 2, 0, 0, 2, 2, 5, 0, 0, 0, 3, 27, 13, 8, 11, 5, 15, 3, 1, 0, 22, 5,{c5.2xlarge=12; c5.xlarge=7; c5a.2xlarge=9; c5a.xlarge=40; d3.2xlarge=0; d3.xlarge=14; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=3; m5zn.large=27; m5zn.xlarge=13; r5.2xlarge=8; r5.large=11; r5.xlarge=5; r5a.2xlarge=15; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=22; z1d.xlarge=5}
viralrecon,normal,0.15,40,125,MCT,551.7999999999998,7, 9, 6, 32, 0, 6, 1, 0, 0, 1, 2, 4, 0, 2, 0, 6, 42, 8, 8, 5, 7, 16, 7, 2, 0, 28, 7,{c5.2xlarge=7; c5.xlarge=9; c5a.2xlarge=6; c5a.xlarge=32; d3.2xlarge=0; d3.xlarge=6; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=1; m5.large=2; m5.xlarge=4; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=6; m5zn.large=42; m5zn.xlarge=8; r5.2xlarge=8; r5.large=5; r5.xlarge=7; r5a.2xlarge=16; r5a.large=7; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=28; z1d.xlarge=7}
viralrecon,normal,0.15,40,125,ROUNDROBIN,447.0299999999999,2, 7, 4, 30, 0, 16, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 61, 6, 6, 4, 7, 21, 8, 1, 0, 21, 9,{c5.2xlarge=2; c5.xlarge=7; c5a.2xlarge=4; c5a.xlarge=30; d3.2xlarge=0; d3.xlarge=16; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=61; m5zn.xlarge=6; r5.2xlarge=6; r5.large=4; r5.xlarge=7; r5a.2xlarge=21; r5a.large=8; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=21; z1d.xlarge=9}
viralrecon,normal,0.15,40,125,STATIC,535.1299999999999,14, 2, 8, 24, 0, 5, 3, 0, 0, 0, 2, 3, 0, 0, 0, 2, 87, 9, 4, 4, 5, 5, 3, 0, 0, 18, 7,{c5.2xlarge=14; c5.xlarge=2; c5a.2xlarge=8; c5a.xlarge=24; d3.2xlarge=0; d3.xlarge=5; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=2; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=2; m5zn.large=87; m5zn.xlarge=9; r5.2xlarge=4; r5.large=4; r5.xlarge=5; r5a.2xlarge=5; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=18; z1d.xlarge=7}
viralrecon,normal,0.15,40,125,NOML,328.8399999999999,12, 7, 13, 23, 10, 8, 5, 0, 0, 6, 4, 11, 0, 7, 0, 4, 17, 9, 7, 14, 11, 10, 4, 4, 0, 13, 6,{c5.2xlarge=12; c5.xlarge=7; c5a.2xlarge=13; c5a.xlarge=23; d3.2xlarge=10; d3.xlarge=8; i3.2xlarge=5; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=4; m5.xlarge=11; m5a.2xlarge=0; m5a.large=7; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=17; m5zn.xlarge=9; r5.2xlarge=7; r5.large=14; r5.xlarge=11; r5a.2xlarge=10; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=13; z1d.xlarge=6}
viralrecon,normal,0.15,40,125,CUSTOMCLUSTERNOML,337.9199999999999,10, 14, 12, 12, 9, 13, 11, 0, 0, 9, 7, 9, 0, 4, 0, 4, 7, 15, 19, 15, 6, 7, 4, 5, 0, 8, 5,{c5.2xlarge=10; c5.xlarge=14; c5a.2xlarge=12; c5a.xlarge=12; d3.2xlarge=9; d3.xlarge=13; i3.2xlarge=11; i3.large=0; i3.xlarge=0; m5.2xlarge=9; m5.large=7; m5.xlarge=9; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=7; m5zn.xlarge=15; r5.2xlarge=19; r5.large=15; r5.xlarge=6; r5a.2xlarge=7; r5a.large=4; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=5}
viralrecon,normal,0.15,40,125,TEXTDISTANCE,477.33999999999986,17, 8, 3, 10, 9, 5, 15, 0, 0, 4, 10, 8, 0, 7, 0, 8, 13, 23, 14, 12, 12, 8, 6, 1, 0, 9, 4,{c5.2xlarge=17; c5.xlarge=8; c5a.2xlarge=3; c5a.xlarge=10; d3.2xlarge=9; d3.xlarge=5; i3.2xlarge=15; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=10; m5.xlarge=8; m5a.2xlarge=0; m5a.large=7; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=13; m5zn.xlarge=23; r5.2xlarge=14; r5.large=12; r5.xlarge=12; r5a.2xlarge=8; r5a.large=6; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=4}
viralrecon,normal,0.15,40,125,CRITICALPATH,315.9,15, 6, 13, 18, 7, 12, 10, 0, 0, 1, 9, 7, 0, 6, 0, 4, 20, 13, 10, 10, 7, 4, 8, 7, 0, 14, 4,{c5.2xlarge=15; c5.xlarge=6; c5a.2xlarge=13; c5a.xlarge=18; d3.2xlarge=7; d3.xlarge=12; i3.2xlarge=10; i3.large=0; i3.xlarge=0; m5.2xlarge=1; m5.large=9; m5.xlarge=7; m5a.2xlarge=0; m5a.large=6; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=20; m5zn.xlarge=13; r5.2xlarge=10; r5.large=10; r5.xlarge=7; r5a.2xlarge=4; r5a.large=8; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=14; z1d.xlarge=4}
viralrecon,normal,0.15,40,125,CRITICALPATHREVERSE,363.4599999999999,15, 3, 15, 21, 6, 9, 5, 0, 0, 6, 10, 3, 0, 6, 0, 2, 17, 13, 8, 14, 8, 7, 7, 6, 0, 16, 9,{c5.2xlarge=15; c5.xlarge=3; c5a.2xlarge=15; c5a.xlarge=21; d3.2xlarge=6; d3.xlarge=9; i3.2xlarge=5; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=10; m5.xlarge=3; m5a.2xlarge=0; m5a.large=6; m5a.xlarge=0; m5zn.2xlarge=2; m5zn.large=17; m5zn.xlarge=13; r5.2xlarge=8; r5.large=14; r5.xlarge=8; r5a.2xlarge=7; r5a.large=7; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=16; z1d.xlarge=9}
viralrecon,normal,0.15,40,125,RESHIV2,336.9599999999999,11, 10, 11, 25, 8, 12, 11, 0, 0, 6, 7, 2, 0, 5, 0, 3, 19, 13, 9, 10, 7, 6, 5, 3, 0, 13, 10,{c5.2xlarge=11; c5.xlarge=10; c5a.2xlarge=11; c5a.xlarge=25; d3.2xlarge=8; d3.xlarge=12; i3.2xlarge=11; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=7; m5.xlarge=2; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=3; m5zn.large=19; m5zn.xlarge=13; r5.2xlarge=9; r5.large=10; r5.xlarge=7; r5a.2xlarge=6; r5a.large=5; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=13; z1d.xlarge=10}
