Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.15,40,0,MINMIN,354.73999999999995,0, 8, 13, 11, 7, 4, 1, 1, 0, 3, 3, 6, 1, 0, 2, 16, 0, 7, 0, 2, 4, 0, 3, 2, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=7; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=3; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,MAXMIN,525.9,0, 9, 12, 6, 8, 4, 2, 2, 0, 4, 3, 6, 3, 0, 3, 12, 0, 3, 0, 2, 4, 3, 4, 4, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=6; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=3; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=3; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,MCT,459.15999999999997,0, 7, 13, 8, 4, 8, 1, 2, 0, 2, 3, 6, 0, 0, 2, 18, 0, 5, 0, 3, 5, 1, 3, 2, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=13; c5a.xlarge=8; d3.2xlarge=4; d3.xlarge=8; i3.2xlarge=1; i3.large=2; i3.xlarge=0; m5.2xlarge=2; m5.large=3; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=18; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=3; r5.xlarge=5; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,ROUNDROBIN,571.4099999999999,0, 5, 10, 5, 10, 8, 2, 1, 0, 6, 4, 2, 6, 0, 3, 11, 0, 1, 0, 3, 6, 4, 8, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=10; c5a.xlarge=5; d3.2xlarge=10; d3.xlarge=8; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=6; m5.large=4; m5.xlarge=2; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=3; r5.xlarge=6; r5a.2xlarge=4; r5a.large=8; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,STATIC,348.87999999999994,0, 9, 12, 9, 6, 4, 0, 1, 0, 7, 1, 9, 2, 0, 3, 16, 0, 4, 0, 1, 5, 1, 4, 1, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=9; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=7; m5.large=1; m5.xlarge=9; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=1; r5.xlarge=5; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,NOML,706.8399999999999,0, 9, 12, 8, 2, 6, 1, 1, 0, 4, 1, 8, 6, 0, 5, 5, 0, 2, 0, 3, 4, 6, 6, 5, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=2; d3.xlarge=6; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=1; m5.xlarge=8; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=3; r5.xlarge=4; r5a.2xlarge=6; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,CUSTOMCLUSTERNOML,584.8299999999999,0, 3, 12, 8, 9, 4, 2, 2, 0, 4, 2, 5, 2, 0, 2, 14, 0, 3, 0, 5, 6, 4, 5, 4, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=9; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=5; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=5; r5.xlarge=6; r5a.2xlarge=4; r5a.large=5; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,TEXTDISTANCE,353.99999999999994,0, 5, 10, 7, 6, 3, 1, 2, 0, 7, 4, 12, 4, 0, 3, 6, 0, 5, 0, 2, 8, 4, 4, 3, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=10; c5a.xlarge=7; d3.2xlarge=6; d3.xlarge=3; i3.2xlarge=1; i3.large=2; i3.xlarge=0; m5.2xlarge=7; m5.large=4; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=8; r5a.2xlarge=4; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,CRITICALPATH,525.8399999999999,0, 4, 13, 10, 6, 4, 2, 3, 0, 6, 1, 8, 4, 0, 3, 8, 0, 2, 0, 1, 4, 3, 7, 7, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=13; c5a.xlarge=10; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=6; m5.large=1; m5.xlarge=8; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=7; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,CRITICALPATHREVERSE,487.92,0, 9, 14, 12, 6, 3, 1, 1, 0, 2, 3, 5, 1, 0, 3, 12, 0, 5, 0, 2, 3, 3, 4, 4, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=14; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=3; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=3; m5.xlarge=5; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=3; r5a.2xlarge=3; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,RESHIV2,524.76,0, 4, 12, 10, 6, 5, 4, 1, 0, 4, 5, 8, 2, 0, 3, 10, 0, 6, 0, 4, 4, 2, 3, 3, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=10; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=4; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=8; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
