Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,exponential,0.2,40,90,STATIC,786.3299999999996,22, 3, 12, 32, 2, 0, 0, 1, 0, 11, 1, 0, 0, 4, 1, 13, 7, 9, 0, 5, 10, 0, 0, 14, 0, 5, 53,{c5.2xlarge=22; c5.xlarge=3; c5a.2xlarge=12; c5a.xlarge=32; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=11; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=1; m5zn.2xlarge=13; m5zn.large=7; m5zn.xlarge=9; r5.2xlarge=0; r5.large=5; r5.xlarge=10; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=14; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=53}
viralrecon,exponential,0.2,40,90,NOML,524.3199999999999,33, 8, 19, 18, 7, 10, 0, 6, 0, 6, 3, 0, 0, 9, 6, 12, 11, 9, 0, 7, 8, 0, 5, 11, 0, 8, 9,{c5.2xlarge=33; c5.xlarge=8; c5a.2xlarge=19; c5a.xlarge=18; d3.2xlarge=7; d3.xlarge=10; i3.2xlarge=0; i3.large=6; i3.xlarge=0; m5.2xlarge=6; m5.large=3; m5.xlarge=0; m5a.2xlarge=0; m5a.large=9; m5a.xlarge=6; m5zn.2xlarge=12; m5zn.large=11; m5zn.xlarge=9; r5.2xlarge=0; r5.large=7; r5.xlarge=8; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=9}
viralrecon,exponential,0.2,40,90,CUSTOMCLUSTERNOML,332.7099999999999,20, 13, 22, 6, 12, 6, 0, 6, 0, 16, 5, 0, 0, 10, 7, 16, 3, 16, 0, 8, 7, 0, 3, 8, 0, 8, 14,{c5.2xlarge=20; c5.xlarge=13; c5a.2xlarge=22; c5a.xlarge=6; d3.2xlarge=12; d3.xlarge=6; i3.2xlarge=0; i3.large=6; i3.xlarge=0; m5.2xlarge=16; m5.large=5; m5.xlarge=0; m5a.2xlarge=0; m5a.large=10; m5a.xlarge=7; m5zn.2xlarge=16; m5zn.large=3; m5zn.xlarge=16; r5.2xlarge=0; r5.large=8; r5.xlarge=7; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=14}
viralrecon,exponential,0.2,40,90,TEXTDISTANCE,342.2999999999999,18, 12, 11, 10, 10, 3, 0, 6, 0, 13, 10, 0, 0, 9, 7, 8, 11, 15, 0, 11, 19, 0, 6, 10, 0, 5, 11,{c5.2xlarge=18; c5.xlarge=12; c5a.2xlarge=11; c5a.xlarge=10; d3.2xlarge=10; d3.xlarge=3; i3.2xlarge=0; i3.large=6; i3.xlarge=0; m5.2xlarge=13; m5.large=10; m5.xlarge=0; m5a.2xlarge=0; m5a.large=9; m5a.xlarge=7; m5zn.2xlarge=8; m5zn.large=11; m5zn.xlarge=15; r5.2xlarge=0; r5.large=11; r5.xlarge=19; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=10; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=11}
viralrecon,exponential,0.2,40,90,CRITICALPATH,325.05999999999995,26, 6, 14, 21, 4, 8, 0, 4, 0, 6, 7, 0, 0, 6, 10, 9, 15, 13, 0, 6, 6, 0, 7, 7, 0, 11, 19,{c5.2xlarge=26; c5.xlarge=6; c5a.2xlarge=14; c5a.xlarge=21; d3.2xlarge=4; d3.xlarge=8; i3.2xlarge=0; i3.large=4; i3.xlarge=0; m5.2xlarge=6; m5.large=7; m5.xlarge=0; m5a.2xlarge=0; m5a.large=6; m5a.xlarge=10; m5zn.2xlarge=9; m5zn.large=15; m5zn.xlarge=13; r5.2xlarge=0; r5.large=6; r5.xlarge=6; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=11; z1d.xlarge=19}
viralrecon,exponential,0.2,40,90,CRITICALPATHREVERSE,326.45,26, 8, 19, 16, 7, 4, 0, 6, 0, 4, 8, 0, 0, 4, 8, 10, 22, 14, 0, 6, 12, 0, 4, 6, 0, 10, 12,{c5.2xlarge=26; c5.xlarge=8; c5a.2xlarge=19; c5a.xlarge=16; d3.2xlarge=7; d3.xlarge=4; i3.2xlarge=0; i3.large=6; i3.xlarge=0; m5.2xlarge=4; m5.large=8; m5.xlarge=0; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=8; m5zn.2xlarge=10; m5zn.large=22; m5zn.xlarge=14; r5.2xlarge=0; r5.large=6; r5.xlarge=12; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=10; z1d.xlarge=12}
viralrecon,exponential,0.2,40,90,RESHIV2,324.52,20, 9, 18, 15, 5, 6, 0, 8, 0, 2, 9, 0, 0, 10, 3, 15, 20, 14, 0, 9, 8, 0, 6, 7, 0, 10, 11,{c5.2xlarge=20; c5.xlarge=9; c5a.2xlarge=18; c5a.xlarge=15; d3.2xlarge=5; d3.xlarge=6; i3.2xlarge=0; i3.large=8; i3.xlarge=0; m5.2xlarge=2; m5.large=9; m5.xlarge=0; m5a.2xlarge=0; m5a.large=10; m5a.xlarge=3; m5zn.2xlarge=15; m5zn.large=20; m5zn.xlarge=14; r5.2xlarge=0; r5.large=9; r5.xlarge=8; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=10; z1d.xlarge=11}
viralrecon,exponential,0.2,40,90,RESHIV3,324.6499999999999,21, 9, 22, 19, 5, 5, 0, 3, 0, 5, 6, 0, 0, 3, 9, 13, 15, 12, 0, 7, 12, 0, 8, 10, 0, 7, 14,{c5.2xlarge=21; c5.xlarge=9; c5a.2xlarge=22; c5a.xlarge=19; d3.2xlarge=5; d3.xlarge=5; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=5; m5.large=6; m5.xlarge=0; m5a.2xlarge=0; m5a.large=3; m5a.xlarge=9; m5zn.2xlarge=13; m5zn.large=15; m5zn.xlarge=12; r5.2xlarge=0; r5.large=7; r5.xlarge=12; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=10; z1d.2xlarge=0; z1d.large=7; z1d.xlarge=14}
viralrecon,exponential,0.2,40,90,RESHIMAX,524.1499999999999,26, 7, 20, 16, 7, 6, 0, 5, 0, 8, 3, 0, 0, 14, 4, 12, 17, 16, 0, 5, 4, 0, 6, 11, 0, 6, 13,{c5.2xlarge=26; c5.xlarge=7; c5a.2xlarge=20; c5a.xlarge=16; d3.2xlarge=7; d3.xlarge=6; i3.2xlarge=0; i3.large=5; i3.xlarge=0; m5.2xlarge=8; m5.large=3; m5.xlarge=0; m5a.2xlarge=0; m5a.large=14; m5a.xlarge=4; m5zn.2xlarge=12; m5zn.large=17; m5zn.xlarge=16; r5.2xlarge=0; r5.large=5; r5.xlarge=4; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=6; z1d.xlarge=13}
viralrecon,exponential,0.2,40,90,RESHIFCFS,325.4599999999998,18, 5, 14, 15, 8, 6, 0, 7, 0, 10, 8, 0, 0, 5, 6, 13, 19, 18, 0, 12, 7, 0, 2, 6, 0, 9, 17,{c5.2xlarge=18; c5.xlarge=5; c5a.2xlarge=14; c5a.xlarge=15; d3.2xlarge=8; d3.xlarge=6; i3.2xlarge=0; i3.large=7; i3.xlarge=0; m5.2xlarge=10; m5.large=8; m5.xlarge=0; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=6; m5zn.2xlarge=13; m5zn.large=19; m5zn.xlarge=18; r5.2xlarge=0; r5.large=12; r5.xlarge=7; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=17}
