Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,exponential,0.15,40,19,NOML,449.76,14, 2, 0, 12, 1, 2, 0, 0, 2, 2, 1, 9, 3, 0, 0, 0, 7, 4, 4, 0, 0, 1, 3, 3, 9, 12, 7,{c5.2xlarge=14; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=0; i3.large=0; i3.xlarge=2; m5.2xlarge=2; m5.large=1; m5.xlarge=9; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=7; m5zn.xlarge=4; r5.2xlarge=4; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=3; z1d.2xlarge=9; z1d.large=12; z1d.xlarge=7}
chipseq,exponential,0.15,40,19,CUSTOMCLUSTERNOML,395.5899999999999,14, 2, 0, 6, 4, 4, 0, 0, 1, 2, 4, 7, 1, 0, 0, 0, 11, 7, 6, 0, 0, 2, 4, 1, 8, 11, 3,{c5.2xlarge=14; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=6; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=0; i3.large=0; i3.xlarge=1; m5.2xlarge=2; m5.large=4; m5.xlarge=7; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=11; m5zn.xlarge=7; r5.2xlarge=6; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=8; z1d.large=11; z1d.xlarge=3}
chipseq,exponential,0.15,40,19,TEXTDISTANCE,420.79999999999995,12, 3, 0, 9, 1, 5, 0, 0, 4, 4, 4, 16, 1, 0, 0, 0, 9, 5, 2, 0, 0, 4, 6, 3, 5, 3, 2,{c5.2xlarge=12; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=9; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=0; i3.xlarge=4; m5.2xlarge=4; m5.large=4; m5.xlarge=16; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=9; m5zn.xlarge=5; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=4; r5a.large=6; r5a.xlarge=3; z1d.2xlarge=5; z1d.large=3; z1d.xlarge=2}
chipseq,exponential,0.15,40,19,CRITICALPATH,448.05999999999995,12, 4, 0, 12, 1, 4, 0, 0, 3, 2, 2, 10, 1, 0, 0, 0, 10, 6, 3, 0, 0, 2, 3, 2, 4, 12, 5,{c5.2xlarge=12; c5.xlarge=4; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=1; d3.xlarge=4; i3.2xlarge=0; i3.large=0; i3.xlarge=3; m5.2xlarge=2; m5.large=2; m5.xlarge=10; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=10; m5zn.xlarge=6; r5.2xlarge=3; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=4; z1d.large=12; z1d.xlarge=5}
chipseq,exponential,0.15,40,19,CRITICALPATHREVERSE,461.0399999999999,13, 2, 0, 12, 2, 3, 0, 0, 1, 1, 2, 6, 2, 0, 0, 0, 15, 10, 2, 0, 0, 1, 2, 2, 6, 12, 4,{c5.2xlarge=13; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=2; d3.xlarge=3; i3.2xlarge=0; i3.large=0; i3.xlarge=1; m5.2xlarge=1; m5.large=2; m5.xlarge=6; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=15; m5zn.xlarge=10; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=6; z1d.large=12; z1d.xlarge=4}
chipseq,exponential,0.15,40,19,RESHIV2,448.21,13, 2, 0, 12, 2, 2, 0, 0, 1, 2, 2, 4, 2, 0, 0, 0, 13, 5, 2, 0, 0, 1, 3, 2, 6, 19, 5,{c5.2xlarge=13; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=0; i3.large=0; i3.xlarge=1; m5.2xlarge=2; m5.large=2; m5.xlarge=4; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=13; m5zn.xlarge=5; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=6; z1d.large=19; z1d.xlarge=5}
chipseq,exponential,0.15,40,19,RESHIV3,403.25,12, 2, 0, 13, 2, 2, 0, 0, 2, 1, 4, 4, 1, 0, 0, 0, 10, 6, 4, 0, 0, 1, 3, 3, 4, 20, 4,{c5.2xlarge=12; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=13; d3.2xlarge=2; d3.xlarge=2; i3.2xlarge=0; i3.large=0; i3.xlarge=2; m5.2xlarge=1; m5.large=4; m5.xlarge=4; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=10; m5zn.xlarge=6; r5.2xlarge=4; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=3; z1d.2xlarge=4; z1d.large=20; z1d.xlarge=4}
chipseq,exponential,0.15,40,19,RESHIMAX,449.60999999999996,10, 3, 0, 11, 2, 3, 0, 0, 3, 1, 3, 7, 1, 0, 0, 0, 10, 6, 1, 0, 0, 1, 3, 4, 7, 15, 7,{c5.2xlarge=10; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=11; d3.2xlarge=2; d3.xlarge=3; i3.2xlarge=0; i3.large=0; i3.xlarge=3; m5.2xlarge=1; m5.large=3; m5.xlarge=7; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=10; m5zn.xlarge=6; r5.2xlarge=1; r5.large=0; r5.xlarge=0; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=4; z1d.2xlarge=7; z1d.large=15; z1d.xlarge=7}
chipseq,exponential,0.15,40,19,RESHIFCFS,450.8499999999999,12, 2, 0, 11, 2, 6, 0, 0, 3, 1, 1, 5, 1, 0, 0, 0, 15, 6, 2, 0, 0, 2, 2, 4, 7, 11, 5,{c5.2xlarge=12; c5.xlarge=2; c5a.2xlarge=0; c5a.xlarge=11; d3.2xlarge=2; d3.xlarge=6; i3.2xlarge=0; i3.large=0; i3.xlarge=3; m5.2xlarge=1; m5.large=1; m5.xlarge=5; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=15; m5zn.xlarge=6; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=2; r5a.large=2; r5a.xlarge=4; z1d.2xlarge=7; z1d.large=11; z1d.xlarge=5}
chipseq,exponential,0.15,40,20,MINMIN,408.86999999999995,13, 3, 0, 11, 1, 4, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 18, 9, 2, 0, 0, 0, 2, 2, 7, 15, 4,{c5.2xlarge=13; c5.xlarge=3; c5a.2xlarge=0; c5a.xlarge=11; d3.2xlarge=1; d3.xlarge=4; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=1; m5.large=2; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=18; m5zn.xlarge=9; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=7; z1d.large=15; z1d.xlarge=4}
