wfName,taskName,rank
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,25
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,23
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,27
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,24
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,26
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,3
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,4
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,2
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,1
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,12
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,8
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,7
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,13
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,10
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,11
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,9
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,5
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,6
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,21
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,16
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,17
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,22
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,20
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,19
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,18
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,14
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,15
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,25
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,23
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,27
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,24
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_DESEQ2,26
nfcore/chipseq:1.2.2,FASTQC,1
nfcore/chipseq:1.2.2,FASTQC,4
nfcore/chipseq:1.2.2,FASTQC,2
nfcore/chipseq:1.2.2,FASTQC,3
nfcore/chipseq:1.2.2,FASTQC,18
nfcore/chipseq:1.2.2,FASTQC,17
nfcore/chipseq:1.2.2,FASTQC,19
nfcore/chipseq:1.2.2,FASTQC,22
nfcore/chipseq:1.2.2,FASTQC,20
nfcore/chipseq:1.2.2,FASTQC,21
nfcore/chipseq:1.2.2,FASTQC,14
