Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.1,40,0,MINMIN,356.97,0, 54, 68, 56, 66, 42, 32, 24, 0, 43, 27, 65, 46, 0, 60, 70, 0, 23, 0, 20, 56, 86, 73, 60, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=68; c5a.xlarge=56; d3.2xlarge=66; d3.xlarge=42; i3.2xlarge=32; i3.large=24; i3.xlarge=0; m5.2xlarge=43; m5.large=27; m5.xlarge=65; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=60; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=23; r5.2xlarge=0; r5.large=20; r5.xlarge=56; r5a.2xlarge=86; r5a.large=73; r5a.xlarge=60; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,MAXMIN,356.97,0, 44, 77, 50, 78, 45, 25, 28, 0, 54, 24, 78, 46, 0, 45, 70, 0, 33, 0, 27, 53, 73, 74, 52, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=44; c5a.2xlarge=77; c5a.xlarge=50; d3.2xlarge=78; d3.xlarge=45; i3.2xlarge=25; i3.large=28; i3.xlarge=0; m5.2xlarge=54; m5.large=24; m5.xlarge=78; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=73; r5a.large=74; r5a.xlarge=52; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,MCT,356.97,0, 50, 72, 52, 83, 44, 22, 22, 0, 56, 18, 68, 61, 0, 55, 68, 0, 19, 0, 24, 57, 69, 76, 56, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=72; c5a.xlarge=52; d3.2xlarge=83; d3.xlarge=44; i3.2xlarge=22; i3.large=22; i3.xlarge=0; m5.2xlarge=56; m5.large=18; m5.xlarge=68; m5a.2xlarge=61; m5a.large=0; m5a.xlarge=55; m5zn.2xlarge=68; m5zn.large=0; m5zn.xlarge=19; r5.2xlarge=0; r5.large=24; r5.xlarge=57; r5a.2xlarge=69; r5a.large=76; r5a.xlarge=56; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,STATIC,359.91,0, 52, 85, 44, 75, 46, 27, 24, 0, 55, 22, 77, 44, 0, 47, 87, 0, 28, 0, 20, 47, 69, 74, 53, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=85; c5a.xlarge=44; d3.2xlarge=75; d3.xlarge=46; i3.2xlarge=27; i3.large=24; i3.xlarge=0; m5.2xlarge=55; m5.large=22; m5.xlarge=77; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=20; r5.xlarge=47; r5a.2xlarge=69; r5a.large=74; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,NOML,356.97,0, 71, 89, 80, 43, 35, 35, 29, 0, 54, 34, 68, 39, 0, 37, 90, 0, 37, 0, 37, 48, 52, 52, 30, 0, 0, 40,{c5.2xlarge=0; c5.xlarge=71; c5a.2xlarge=89; c5a.xlarge=80; d3.2xlarge=43; d3.xlarge=35; i3.2xlarge=35; i3.large=29; i3.xlarge=0; m5.2xlarge=54; m5.large=34; m5.xlarge=68; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=37; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=37; r5.2xlarge=0; r5.large=37; r5.xlarge=48; r5a.2xlarge=52; r5a.large=52; r5a.xlarge=30; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=40},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,CUSTOMCLUSTERNOML,356.97,0, 60, 94, 43, 60, 75, 36, 24, 0, 45, 33, 71, 44, 0, 40, 89, 0, 43, 0, 20, 64, 41, 41, 35, 0, 0, 42,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=94; c5a.xlarge=43; d3.2xlarge=60; d3.xlarge=75; i3.2xlarge=36; i3.large=24; i3.xlarge=0; m5.2xlarge=45; m5.large=33; m5.xlarge=71; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=20; r5.xlarge=64; r5a.2xlarge=41; r5a.large=41; r5a.xlarge=35; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=42},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,TEXTDISTANCE,356.97,0, 58, 67, 58, 44, 51, 30, 30, 0, 64, 36, 82, 44, 0, 43, 89, 0, 49, 0, 35, 59, 41, 42, 43, 0, 0, 35,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=67; c5a.xlarge=58; d3.2xlarge=44; d3.xlarge=51; i3.2xlarge=30; i3.large=30; i3.xlarge=0; m5.2xlarge=64; m5.large=36; m5.xlarge=82; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=49; r5.2xlarge=0; r5.large=35; r5.xlarge=59; r5a.2xlarge=41; r5a.large=42; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=35},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,CRITICALPATH,356.97,0, 73, 78, 73, 54, 77, 33, 27, 0, 40, 38, 55, 41, 0, 40, 78, 0, 43, 0, 35, 51, 41, 41, 40, 0, 0, 42,{c5.2xlarge=0; c5.xlarge=73; c5a.2xlarge=78; c5a.xlarge=73; d3.2xlarge=54; d3.xlarge=77; i3.2xlarge=33; i3.large=27; i3.xlarge=0; m5.2xlarge=40; m5.large=38; m5.xlarge=55; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=35; r5.xlarge=51; r5a.2xlarge=41; r5a.large=41; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=42},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,CRITICALPATHREVERSE,356.97,0, 72, 99, 73, 57, 60, 32, 30, 0, 45, 37, 54, 44, 0, 39, 90, 0, 41, 0, 29, 53, 28, 36, 36, 0, 0, 45,{c5.2xlarge=0; c5.xlarge=72; c5a.2xlarge=99; c5a.xlarge=73; d3.2xlarge=57; d3.xlarge=60; i3.2xlarge=32; i3.large=30; i3.xlarge=0; m5.2xlarge=45; m5.large=37; m5.xlarge=54; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=41; r5.2xlarge=0; r5.large=29; r5.xlarge=53; r5a.2xlarge=28; r5a.large=36; r5a.xlarge=36; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=45},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,RESHIV2,356.97,0, 72, 80, 74, 51, 67, 35, 21, 0, 36, 34, 54, 35, 0, 39, 94, 0, 45, 0, 35, 52, 42, 48, 48, 0, 0, 38,{c5.2xlarge=0; c5.xlarge=72; c5a.2xlarge=80; c5a.xlarge=74; d3.2xlarge=51; d3.xlarge=67; i3.2xlarge=35; i3.large=21; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=54; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=94; m5zn.large=0; m5zn.xlarge=45; r5.2xlarge=0; r5.large=35; r5.xlarge=52; r5a.2xlarge=42; r5a.large=48; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=38},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
