Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.2,40,0,MINMIN,2839.8599999999947,0, 56, 89, 58, 73, 55, 21, 20, 0, 52, 26, 77, 39, 0, 45, 85, 0, 32, 0, 27, 48, 56, 70, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=89; c5a.xlarge=58; d3.2xlarge=73; d3.xlarge=55; i3.2xlarge=21; i3.large=20; i3.xlarge=0; m5.2xlarge=52; m5.large=26; m5.xlarge=77; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=27; r5.xlarge=48; r5a.2xlarge=56; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,MAXMIN,2824.3599999999956,0, 58, 88, 57, 81, 54, 21, 23, 0, 50, 28, 81, 39, 0, 40, 84, 0, 30, 0, 29, 45, 50, 71, 40, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=88; c5a.xlarge=57; d3.2xlarge=81; d3.xlarge=54; i3.2xlarge=21; i3.large=23; i3.xlarge=0; m5.2xlarge=50; m5.large=28; m5.xlarge=81; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=29; r5.xlarge=45; r5a.2xlarge=50; r5a.large=71; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,MCT,2993.7799999999957,0, 61, 79, 59, 64, 59, 18, 23, 0, 56, 26, 81, 40, 0, 43, 91, 0, 29, 0, 21, 50, 60, 69, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=79; c5a.xlarge=59; d3.2xlarge=64; d3.xlarge=59; i3.2xlarge=18; i3.large=23; i3.xlarge=0; m5.2xlarge=56; m5.large=26; m5.xlarge=81; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=21; r5.xlarge=50; r5a.2xlarge=60; r5a.large=69; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,STATIC,2820.119999999995,0, 55, 85, 56, 75, 54, 18, 25, 0, 54, 28, 81, 40, 0, 45, 91, 0, 27, 0, 22, 54, 54, 70, 38, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=85; c5a.xlarge=56; d3.2xlarge=75; d3.xlarge=54; i3.2xlarge=18; i3.large=25; i3.xlarge=0; m5.2xlarge=54; m5.large=28; m5.xlarge=81; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=22; r5.xlarge=54; r5a.2xlarge=54; r5a.large=70; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,NOML,3100.239999999994,0, 62, 81, 60, 48, 43, 20, 22, 0, 52, 30, 72, 43, 0, 54, 81, 0, 29, 0, 34, 52, 69, 63, 50, 0, 0, 35,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=81; c5a.xlarge=60; d3.2xlarge=48; d3.xlarge=43; i3.2xlarge=20; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=30; m5.xlarge=72; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=54; m5zn.2xlarge=81; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=34; r5.xlarge=52; r5a.2xlarge=69; r5a.large=63; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=35},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,CUSTOMCLUSTERNOML,2827.4999999999945,0, 54, 77, 57, 74, 51, 32, 24, 0, 49, 30, 79, 40, 0, 48, 85, 0, 30, 0, 26, 59, 43, 63, 47, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=77; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=51; i3.2xlarge=32; i3.large=24; i3.xlarge=0; m5.2xlarge=49; m5.large=30; m5.xlarge=79; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=26; r5.xlarge=59; r5a.2xlarge=43; r5a.large=63; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,TEXTDISTANCE,2840.0499999999947,0, 56, 75, 51, 71, 55, 25, 31, 0, 61, 33, 71, 46, 0, 52, 78, 0, 28, 0, 31, 44, 57, 70, 35, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=75; c5a.xlarge=51; d3.2xlarge=71; d3.xlarge=55; i3.2xlarge=25; i3.large=31; i3.xlarge=0; m5.2xlarge=61; m5.large=33; m5.xlarge=71; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=52; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=31; r5.xlarge=44; r5a.2xlarge=57; r5a.large=70; r5a.xlarge=35; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,CRITICALPATH,2762.089999999995,0, 61, 84, 59, 77, 56, 25, 27, 0, 53, 30, 71, 42, 0, 46, 78, 0, 35, 0, 30, 56, 41, 58, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=84; c5a.xlarge=59; d3.2xlarge=77; d3.xlarge=56; i3.2xlarge=25; i3.large=27; i3.xlarge=0; m5.2xlarge=53; m5.large=30; m5.xlarge=71; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=30; r5.xlarge=56; r5a.2xlarge=41; r5a.large=58; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,CRITICALPATHREVERSE,2762.149999999995,0, 55, 82, 58, 75, 58, 23, 28, 0, 60, 32, 81, 42, 0, 45, 73, 0, 34, 0, 30, 53, 36, 60, 41, 0, 0, 34,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=82; c5a.xlarge=58; d3.2xlarge=75; d3.xlarge=58; i3.2xlarge=23; i3.large=28; i3.xlarge=0; m5.2xlarge=60; m5.large=32; m5.xlarge=81; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=30; r5.xlarge=53; r5a.2xlarge=36; r5a.large=60; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.2,40,0,RESHIV2,2764.2399999999952,0, 53, 79, 62, 71, 59, 22, 29, 0, 54, 32, 75, 38, 0, 46, 80, 0, 36, 0, 29, 60, 48, 48, 47, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=79; c5a.xlarge=62; d3.2xlarge=71; d3.xlarge=59; i3.2xlarge=22; i3.large=29; i3.xlarge=0; m5.2xlarge=54; m5.large=32; m5.xlarge=75; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=36; r5.2xlarge=0; r5.large=29; r5.xlarge=60; r5a.2xlarge=48; r5a.large=48; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
