Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.15,40,0,MINMIN,3107.3299999999954,0, 51, 77, 55, 78, 49, 20, 25, 0, 49, 24, 79, 48, 0, 49, 83, 0, 29, 0, 24, 45, 63, 70, 51, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=77; c5a.xlarge=55; d3.2xlarge=78; d3.xlarge=49; i3.2xlarge=20; i3.large=25; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=79; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=24; r5.xlarge=45; r5a.2xlarge=63; r5a.large=70; r5a.xlarge=51; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,MAXMIN,3086.239999999994,0, 53, 84, 59, 84, 48, 21, 28, 0, 51, 25, 73, 44, 0, 43, 80, 0, 29, 0, 25, 47, 62, 67, 46, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=59; d3.2xlarge=84; d3.xlarge=48; i3.2xlarge=21; i3.large=28; i3.xlarge=0; m5.2xlarge=51; m5.large=25; m5.xlarge=73; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=25; r5.xlarge=47; r5a.2xlarge=62; r5a.large=67; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,MCT,3094.249999999995,0, 54, 87, 56, 73, 53, 29, 22, 0, 49, 25, 75, 45, 0, 38, 85, 0, 32, 0, 24, 49, 64, 70, 46, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=87; c5a.xlarge=56; d3.2xlarge=73; d3.xlarge=53; i3.2xlarge=29; i3.large=22; i3.xlarge=0; m5.2xlarge=49; m5.large=25; m5.xlarge=75; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=38; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=24; r5.xlarge=49; r5a.2xlarge=64; r5a.large=70; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,STATIC,3442.1599999999935,0, 52, 96, 57, 65, 55, 25, 23, 0, 43, 24, 68, 45, 0, 41, 96, 0, 30, 0, 26, 52, 60, 70, 45, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=96; c5a.xlarge=57; d3.2xlarge=65; d3.xlarge=55; i3.2xlarge=25; i3.large=23; i3.xlarge=0; m5.2xlarge=43; m5.large=24; m5.xlarge=68; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=96; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=26; r5.xlarge=52; r5a.2xlarge=60; r5a.large=70; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,NOML,3100.209999999994,0, 67, 76, 62, 43, 34, 25, 20, 0, 55, 32, 61, 54, 0, 54, 80, 0, 31, 0, 33, 59, 66, 64, 54, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=67; c5a.2xlarge=76; c5a.xlarge=62; d3.2xlarge=43; d3.xlarge=34; i3.2xlarge=25; i3.large=20; i3.xlarge=0; m5.2xlarge=55; m5.large=32; m5.xlarge=61; m5a.2xlarge=54; m5a.large=0; m5a.xlarge=54; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=33; r5.xlarge=59; r5a.2xlarge=66; r5a.large=64; r5a.xlarge=54; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,CUSTOMCLUSTERNOML,2827.5899999999947,0, 63, 76, 53, 78, 58, 31, 30, 0, 50, 30, 78, 38, 0, 35, 90, 0, 31, 0, 26, 56, 47, 58, 41, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=63; c5a.2xlarge=76; c5a.xlarge=53; d3.2xlarge=78; d3.xlarge=58; i3.2xlarge=31; i3.large=30; i3.xlarge=0; m5.2xlarge=50; m5.large=30; m5.xlarge=78; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=35; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=26; r5.xlarge=56; r5a.2xlarge=47; r5a.large=58; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,TEXTDISTANCE,2840.0699999999947,0, 57, 70, 59, 60, 57, 22, 31, 0, 50, 31, 76, 50, 0, 48, 73, 0, 31, 0, 32, 50, 59, 70, 43, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=70; c5a.xlarge=59; d3.2xlarge=60; d3.xlarge=57; i3.2xlarge=22; i3.large=31; i3.xlarge=0; m5.2xlarge=50; m5.large=31; m5.xlarge=76; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=32; r5.xlarge=50; r5a.2xlarge=59; r5a.large=70; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,CRITICALPATH,2762.129999999995,0, 55, 81, 60, 76, 56, 24, 27, 0, 58, 32, 69, 37, 0, 41, 85, 0, 35, 0, 29, 54, 45, 64, 42, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=81; c5a.xlarge=60; d3.2xlarge=76; d3.xlarge=56; i3.2xlarge=24; i3.large=27; i3.xlarge=0; m5.2xlarge=58; m5.large=32; m5.xlarge=69; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=29; r5.xlarge=54; r5a.2xlarge=45; r5a.large=64; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,CRITICALPATHREVERSE,2762.0599999999954,0, 55, 74, 60, 67, 62, 23, 25, 0, 55, 28, 77, 38, 0, 46, 77, 0, 34, 0, 31, 61, 43, 64, 46, 0, 0, 34,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=74; c5a.xlarge=60; d3.2xlarge=67; d3.xlarge=62; i3.2xlarge=23; i3.large=25; i3.xlarge=0; m5.2xlarge=55; m5.large=28; m5.xlarge=77; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=77; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=31; r5.xlarge=61; r5a.2xlarge=43; r5a.large=64; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,0,RESHIV2,2764.2499999999955,0, 61, 69, 59, 74, 58, 22, 26, 0, 58, 31, 66, 38, 0, 48, 73, 0, 33, 0, 30, 58, 46, 71, 49, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=69; c5a.xlarge=59; d3.2xlarge=74; d3.xlarge=58; i3.2xlarge=22; i3.large=26; i3.xlarge=0; m5.2xlarge=58; m5.large=31; m5.xlarge=66; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=30; r5.xlarge=58; r5a.2xlarge=46; r5a.large=71; r5a.xlarge=49; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
