Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.15,40,0,MINMIN,3107.3299999999954,0, 51, 77, 55, 78, 49, 20, 25, 0, 49, 24, 79, 48, 0, 49, 83, 0, 29, 0, 24, 45, 63, 70, 51, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=77; c5a.xlarge=55; d3.2xlarge=78; d3.xlarge=49; i3.2xlarge=20; i3.large=25; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=79; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=24; r5.xlarge=45; r5a.2xlarge=63; r5a.large=70; r5a.xlarge=51; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,45,RESHIV2,2950.6999999999957,0, 59, 37, 0, 110, 36, 54, 29, 47, 32, 0, 32, 43, 48, 24, 115, 0, 0, 0, 33, 59, 0, 109, 64, 34, 0, 35,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=37; c5a.xlarge=0; d3.2xlarge=110; d3.xlarge=36; i3.2xlarge=54; i3.large=29; i3.xlarge=47; m5.2xlarge=32; m5.large=0; m5.xlarge=32; m5a.2xlarge=43; m5a.large=48; m5a.xlarge=24; m5zn.2xlarge=115; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=33; r5.xlarge=59; r5a.2xlarge=0; r5a.large=109; r5a.xlarge=64; z1d.2xlarge=34; z1d.large=0; z1d.xlarge=35},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=1; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=1; m5.large=0; m5.xlarge=1; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,45,RESHIV3,2950.0299999999957,0, 64, 35, 0, 107, 33, 52, 32, 55, 34, 0, 32, 45, 47, 24, 106, 0, 0, 0, 32, 61, 0, 110, 65, 32, 0, 34,{c5.2xlarge=0; c5.xlarge=64; c5a.2xlarge=35; c5a.xlarge=0; d3.2xlarge=107; d3.xlarge=33; i3.2xlarge=52; i3.large=32; i3.xlarge=55; m5.2xlarge=34; m5.large=0; m5.xlarge=32; m5a.2xlarge=45; m5a.large=47; m5a.xlarge=24; m5zn.2xlarge=106; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=32; r5.xlarge=61; r5a.2xlarge=0; r5a.large=110; r5a.xlarge=65; z1d.2xlarge=32; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=1; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=1; m5.large=0; m5.xlarge=1; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,45,RESHIMAX,2950.089999999995,0, 62, 35, 0, 112, 32, 44, 27, 50, 35, 0, 33, 39, 51, 24, 101, 0, 0, 0, 34, 65, 0, 122, 63, 35, 0, 36,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=35; c5a.xlarge=0; d3.2xlarge=112; d3.xlarge=32; i3.2xlarge=44; i3.large=27; i3.xlarge=50; m5.2xlarge=35; m5.large=0; m5.xlarge=33; m5a.2xlarge=39; m5a.large=51; m5a.xlarge=24; m5zn.2xlarge=101; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=34; r5.xlarge=65; r5a.2xlarge=0; r5a.large=122; r5a.xlarge=63; z1d.2xlarge=35; z1d.large=0; z1d.xlarge=36},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=1; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=1; m5.large=0; m5.xlarge=1; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,45,RESHIFCFS,2950.729999999996,0, 62, 37, 0, 107, 33, 52, 29, 50, 32, 0, 32, 39, 52, 24, 109, 0, 0, 0, 31, 61, 0, 115, 66, 34, 0, 35,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=37; c5a.xlarge=0; d3.2xlarge=107; d3.xlarge=33; i3.2xlarge=52; i3.large=29; i3.xlarge=50; m5.2xlarge=32; m5.large=0; m5.xlarge=32; m5a.2xlarge=39; m5a.large=52; m5a.xlarge=24; m5zn.2xlarge=109; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=31; r5.xlarge=61; r5a.2xlarge=0; r5a.large=115; r5a.xlarge=66; z1d.2xlarge=34; z1d.large=0; z1d.xlarge=35},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=1; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=1; m5.large=0; m5.xlarge=1; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,46,MINMIN,2775.259999999995,29, 59, 28, 0, 23, 138, 0, 87, 35, 0, 24, 71, 0, 0, 21, 31, 32, 59, 21, 24, 69, 0, 104, 0, 28, 0, 117,{c5.2xlarge=29; c5.xlarge=59; c5a.2xlarge=28; c5a.xlarge=0; d3.2xlarge=23; d3.xlarge=138; i3.2xlarge=0; i3.large=87; i3.xlarge=35; m5.2xlarge=0; m5.large=24; m5.xlarge=71; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=21; m5zn.2xlarge=31; m5zn.large=32; m5zn.xlarge=59; r5.2xlarge=21; r5.large=24; r5.xlarge=69; r5a.2xlarge=0; r5a.large=104; r5a.xlarge=0; z1d.2xlarge=28; z1d.large=0; z1d.xlarge=117},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,MAXMIN,2776.0399999999936,27, 58, 25, 0, 25, 155, 0, 86, 27, 0, 26, 74, 0, 0, 20, 33, 28, 60, 22, 25, 73, 0, 102, 0, 29, 0, 105,{c5.2xlarge=27; c5.xlarge=58; c5a.2xlarge=25; c5a.xlarge=0; d3.2xlarge=25; d3.xlarge=155; i3.2xlarge=0; i3.large=86; i3.xlarge=27; m5.2xlarge=0; m5.large=26; m5.xlarge=74; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=20; m5zn.2xlarge=33; m5zn.large=28; m5zn.xlarge=60; r5.2xlarge=22; r5.large=25; r5.xlarge=73; r5a.2xlarge=0; r5a.large=102; r5a.xlarge=0; z1d.2xlarge=29; z1d.large=0; z1d.xlarge=105},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,MCT,2760.889999999996,27, 60, 29, 0, 23, 134, 0, 85, 36, 0, 29, 75, 0, 0, 20, 31, 28, 63, 23, 27, 75, 0, 101, 0, 26, 0, 108,{c5.2xlarge=27; c5.xlarge=60; c5a.2xlarge=29; c5a.xlarge=0; d3.2xlarge=23; d3.xlarge=134; i3.2xlarge=0; i3.large=85; i3.xlarge=36; m5.2xlarge=0; m5.large=29; m5.xlarge=75; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=20; m5zn.2xlarge=31; m5zn.large=28; m5zn.xlarge=63; r5.2xlarge=23; r5.large=27; r5.xlarge=75; r5a.2xlarge=0; r5a.large=101; r5a.xlarge=0; z1d.2xlarge=26; z1d.large=0; z1d.xlarge=108},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,ROUNDROBIN,3069.159999999995,34, 52, 34, 0, 5, 164, 0, 75, 36, 0, 30, 103, 0, 0, 34, 35, 1, 53, 34, 34, 45, 0, 135, 0, 28, 0, 68,{c5.2xlarge=34; c5.xlarge=52; c5a.2xlarge=34; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=164; i3.2xlarge=0; i3.large=75; i3.xlarge=36; m5.2xlarge=0; m5.large=30; m5.xlarge=103; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=34; m5zn.2xlarge=35; m5zn.large=1; m5zn.xlarge=53; r5.2xlarge=34; r5.large=34; r5.xlarge=45; r5a.2xlarge=0; r5a.large=135; r5a.xlarge=0; z1d.2xlarge=28; z1d.large=0; z1d.xlarge=68},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,STATIC,2778.6799999999953,31, 58, 25, 0, 25, 151, 0, 84, 41, 0, 30, 71, 0, 0, 19, 28, 27, 59, 24, 25, 70, 0, 96, 0, 29, 0, 107,{c5.2xlarge=31; c5.xlarge=58; c5a.2xlarge=25; c5a.xlarge=0; d3.2xlarge=25; d3.xlarge=151; i3.2xlarge=0; i3.large=84; i3.xlarge=41; m5.2xlarge=0; m5.large=30; m5.xlarge=71; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=19; m5zn.2xlarge=28; m5zn.large=27; m5zn.xlarge=59; r5.2xlarge=24; r5.large=25; r5.xlarge=70; r5a.2xlarge=0; r5a.large=96; r5a.xlarge=0; z1d.2xlarge=29; z1d.large=0; z1d.xlarge=107},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,NOML,2965.629999999993,35, 58, 32, 0, 25, 84, 0, 59, 38, 0, 32, 84, 0, 0, 32, 31, 30, 59, 32, 32, 89, 0, 110, 0, 34, 0, 104,{c5.2xlarge=35; c5.xlarge=58; c5a.2xlarge=32; c5a.xlarge=0; d3.2xlarge=25; d3.xlarge=84; i3.2xlarge=0; i3.large=59; i3.xlarge=38; m5.2xlarge=0; m5.large=32; m5.xlarge=84; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=32; m5zn.2xlarge=31; m5zn.large=30; m5zn.xlarge=59; r5.2xlarge=32; r5.large=32; r5.xlarge=89; r5a.2xlarge=0; r5a.large=110; r5a.xlarge=0; z1d.2xlarge=34; z1d.large=0; z1d.xlarge=104},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,CUSTOMCLUSTERNOML,2764.9099999999944,35, 63, 32, 0, 31, 123, 0, 71, 43, 0, 27, 78, 0, 0, 22, 35, 26, 63, 31, 27, 85, 0, 70, 0, 34, 0, 104,{c5.2xlarge=35; c5.xlarge=63; c5a.2xlarge=32; c5a.xlarge=0; d3.2xlarge=31; d3.xlarge=123; i3.2xlarge=0; i3.large=71; i3.xlarge=43; m5.2xlarge=0; m5.large=27; m5.xlarge=78; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=22; m5zn.2xlarge=35; m5zn.large=26; m5zn.xlarge=63; r5.2xlarge=31; r5.large=27; r5.xlarge=85; r5a.2xlarge=0; r5a.large=70; r5a.xlarge=0; z1d.2xlarge=34; z1d.large=0; z1d.xlarge=104},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,TEXTDISTANCE,2816.6399999999944,31, 55, 32, 0, 29, 92, 0, 99, 50, 0, 32, 74, 0, 0, 31, 33, 27, 60, 25, 30, 69, 0, 95, 0, 31, 0, 105,{c5.2xlarge=31; c5.xlarge=55; c5a.2xlarge=32; c5a.xlarge=0; d3.2xlarge=29; d3.xlarge=92; i3.2xlarge=0; i3.large=99; i3.xlarge=50; m5.2xlarge=0; m5.large=32; m5.xlarge=74; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=31; m5zn.2xlarge=33; m5zn.large=27; m5zn.xlarge=60; r5.2xlarge=25; r5.large=30; r5.xlarge=69; r5a.2xlarge=0; r5a.large=95; r5a.xlarge=0; z1d.2xlarge=31; z1d.large=0; z1d.xlarge=105},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,CRITICALPATH,2751.3299999999936,34, 59, 35, 0, 28, 121, 0, 77, 42, 0, 29, 72, 0, 0, 23, 32, 39, 56, 30, 30, 78, 0, 77, 0, 34, 0, 104,{c5.2xlarge=34; c5.xlarge=59; c5a.2xlarge=35; c5a.xlarge=0; d3.2xlarge=28; d3.xlarge=121; i3.2xlarge=0; i3.large=77; i3.xlarge=42; m5.2xlarge=0; m5.large=29; m5.xlarge=72; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=23; m5zn.2xlarge=32; m5zn.large=39; m5zn.xlarge=56; r5.2xlarge=30; r5.large=30; r5.xlarge=78; r5a.2xlarge=0; r5a.large=77; r5a.xlarge=0; z1d.2xlarge=34; z1d.large=0; z1d.xlarge=104},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,CRITICALPATHREVERSE,2751.759999999993,34, 63, 33, 0, 28, 117, 0, 79, 42, 0, 33, 75, 0, 0, 23, 36, 35, 58, 30, 32, 72, 0, 80, 0, 35, 0, 95,{c5.2xlarge=34; c5.xlarge=63; c5a.2xlarge=33; c5a.xlarge=0; d3.2xlarge=28; d3.xlarge=117; i3.2xlarge=0; i3.large=79; i3.xlarge=42; m5.2xlarge=0; m5.large=33; m5.xlarge=75; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=23; m5zn.2xlarge=36; m5zn.large=35; m5zn.xlarge=58; r5.2xlarge=30; r5.large=32; r5.xlarge=72; r5a.2xlarge=0; r5a.large=80; r5a.xlarge=0; z1d.2xlarge=35; z1d.large=0; z1d.xlarge=95},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,RESHIV2,2753.059999999994,35, 60, 33, 0, 28, 125, 0, 77, 45, 0, 29, 77, 0, 0, 21, 34, 39, 56, 31, 28, 74, 0, 75, 0, 32, 0, 101,{c5.2xlarge=35; c5.xlarge=60; c5a.2xlarge=33; c5a.xlarge=0; d3.2xlarge=28; d3.xlarge=125; i3.2xlarge=0; i3.large=77; i3.xlarge=45; m5.2xlarge=0; m5.large=29; m5.xlarge=77; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=21; m5zn.2xlarge=34; m5zn.large=39; m5zn.xlarge=56; r5.2xlarge=31; r5.large=28; r5.xlarge=74; r5a.2xlarge=0; r5a.large=75; r5a.xlarge=0; z1d.2xlarge=32; z1d.large=0; z1d.xlarge=101},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,RESHIV3,2753.1999999999953,33, 62, 31, 0, 28, 113, 0, 82, 42, 0, 28, 74, 0, 0, 24, 35, 38, 58, 31, 31, 69, 0, 79, 0, 33, 0, 109,{c5.2xlarge=33; c5.xlarge=62; c5a.2xlarge=31; c5a.xlarge=0; d3.2xlarge=28; d3.xlarge=113; i3.2xlarge=0; i3.large=82; i3.xlarge=42; m5.2xlarge=0; m5.large=28; m5.xlarge=74; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=24; m5zn.2xlarge=35; m5zn.large=38; m5zn.xlarge=58; r5.2xlarge=31; r5.large=31; r5.xlarge=69; r5a.2xlarge=0; r5a.large=79; r5a.xlarge=0; z1d.2xlarge=33; z1d.large=0; z1d.xlarge=109},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,RESHIMAX,2751.2899999999936,34, 63, 32, 0, 28, 124, 0, 75, 37, 0, 32, 71, 0, 0, 23, 33, 35, 67, 30, 27, 74, 0, 78, 0, 33, 0, 104,{c5.2xlarge=34; c5.xlarge=63; c5a.2xlarge=32; c5a.xlarge=0; d3.2xlarge=28; d3.xlarge=124; i3.2xlarge=0; i3.large=75; i3.xlarge=37; m5.2xlarge=0; m5.large=32; m5.xlarge=71; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=23; m5zn.2xlarge=33; m5zn.large=35; m5zn.xlarge=67; r5.2xlarge=30; r5.large=27; r5.xlarge=74; r5a.2xlarge=0; r5a.large=78; r5a.xlarge=0; z1d.2xlarge=33; z1d.large=0; z1d.xlarge=104},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,46,RESHIFCFS,2753.3399999999947,31, 63, 31, 0, 31, 108, 0, 67, 47, 0, 29, 69, 0, 0, 22, 36, 38, 64, 31, 30, 75, 0, 84, 0, 33, 0, 111,{c5.2xlarge=31; c5.xlarge=63; c5a.2xlarge=31; c5a.xlarge=0; d3.2xlarge=31; d3.xlarge=108; i3.2xlarge=0; i3.large=67; i3.xlarge=47; m5.2xlarge=0; m5.large=29; m5.xlarge=69; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=22; m5zn.2xlarge=36; m5zn.large=38; m5zn.xlarge=64; r5.2xlarge=31; r5.large=30; r5.xlarge=75; r5a.2xlarge=0; r5a.large=84; r5a.xlarge=0; z1d.2xlarge=33; z1d.large=0; z1d.xlarge=111},{c5.2xlarge=1; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=4; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=1; m5zn.xlarge=2; r5.2xlarge=1; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.15,40,47,MINMIN,2811.619999999994,0, 0, 35, 50, 77, 108, 42, 25, 20, 54, 52, 54, 38, 68, 22, 31, 61, 0, 26, 24, 58, 53, 43, 28, 0, 31, 0,{c5.2xlarge=0; c5.xlarge=0; c5a.2xlarge=35; c5a.xlarge=50; d3.2xlarge=77; d3.xlarge=108; i3.2xlarge=42; i3.large=25; i3.xlarge=20; m5.2xlarge=54; m5.large=52; m5.xlarge=54; m5a.2xlarge=38; m5a.large=68; m5a.xlarge=22; m5zn.2xlarge=31; m5zn.large=61; m5zn.xlarge=0; r5.2xlarge=26; r5.large=24; r5.xlarge=58; r5a.2xlarge=53; r5a.large=43; r5a.xlarge=28; z1d.2xlarge=0; z1d.large=31; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=0; c5a.2xlarge=1; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=4; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=2; m5.xlarge=2; m5a.2xlarge=2; m5a.large=3; m5a.xlarge=1; m5zn.2xlarge=1; m5zn.large=2; m5zn.xlarge=0; r5.2xlarge=1; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=0}
