Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.15,40,0,MINMIN,2799.1399999999953,0, 60, 90, 60, 76, 61, 22, 20, 0, 52, 26, 73, 39, 0, 43, 83, 0, 30, 0, 29, 48, 47, 71, 40, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=90; c5a.xlarge=60; d3.2xlarge=76; d3.xlarge=61; i3.2xlarge=22; i3.large=20; i3.xlarge=0; m5.2xlarge=52; m5.large=26; m5.xlarge=73; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=29; r5.xlarge=48; r5a.2xlarge=47; r5a.large=71; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,MAXMIN,2790.4899999999952,0, 50, 89, 59, 86, 59, 16, 21, 0, 44, 27, 79, 35, 0, 45, 80, 0, 33, 0, 29, 50, 54, 74, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=89; c5a.xlarge=59; d3.2xlarge=86; d3.xlarge=59; i3.2xlarge=16; i3.large=21; i3.xlarge=0; m5.2xlarge=44; m5.large=27; m5.xlarge=79; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=29; r5.xlarge=50; r5a.2xlarge=54; r5a.large=74; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,MCT,2786.0399999999963,0, 59, 79, 60, 66, 61, 19, 24, 0, 55, 26, 83, 39, 0, 42, 89, 0, 30, 0, 21, 54, 54, 66, 44, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=79; c5a.xlarge=60; d3.2xlarge=66; d3.xlarge=61; i3.2xlarge=19; i3.large=24; i3.xlarge=0; m5.2xlarge=55; m5.large=26; m5.xlarge=83; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=21; r5.xlarge=54; r5a.2xlarge=54; r5a.large=66; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,STATIC,2803.209999999994,0, 55, 85, 56, 78, 56, 18, 24, 0, 56, 28, 81, 38, 0, 44, 90, 0, 25, 0, 22, 53, 53, 69, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=85; c5a.xlarge=56; d3.2xlarge=78; d3.xlarge=56; i3.2xlarge=18; i3.large=24; i3.xlarge=0; m5.2xlarge=56; m5.large=28; m5.xlarge=81; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=25; r5.2xlarge=0; r5.large=22; r5.xlarge=53; r5a.2xlarge=53; r5a.large=69; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,NOML,3100.099999999994,0, 64, 76, 54, 58, 38, 19, 20, 0, 55, 30, 78, 52, 0, 50, 73, 0, 28, 0, 32, 61, 69, 62, 48, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=64; c5a.2xlarge=76; c5a.xlarge=54; d3.2xlarge=58; d3.xlarge=38; i3.2xlarge=19; i3.large=20; i3.xlarge=0; m5.2xlarge=55; m5.large=30; m5.xlarge=78; m5a.2xlarge=52; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=32; r5.xlarge=61; r5a.2xlarge=69; r5a.large=62; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,CUSTOMCLUSTERNOML,2827.6099999999947,0, 56, 85, 54, 75, 64, 32, 22, 0, 52, 27, 75, 38, 0, 43, 86, 0, 32, 0, 27, 60, 48, 56, 38, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=85; c5a.xlarge=54; d3.2xlarge=75; d3.xlarge=64; i3.2xlarge=32; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=27; m5.xlarge=75; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=27; r5.xlarge=60; r5a.2xlarge=48; r5a.large=56; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,TEXTDISTANCE,2840.0399999999945,0, 53, 65, 54, 62, 47, 23, 30, 0, 61, 34, 78, 48, 0, 47, 73, 0, 30, 0, 31, 45, 66, 74, 45, 0, 0, 34,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=65; c5a.xlarge=54; d3.2xlarge=62; d3.xlarge=47; i3.2xlarge=23; i3.large=30; i3.xlarge=0; m5.2xlarge=61; m5.large=34; m5.xlarge=78; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=31; r5.xlarge=45; r5a.2xlarge=66; r5a.large=74; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,CRITICALPATH,2762.1399999999953,0, 59, 80, 61, 65, 61, 21, 29, 0, 58, 28, 69, 41, 0, 40, 80, 0, 34, 0, 26, 58, 54, 61, 43, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=80; c5a.xlarge=61; d3.2xlarge=65; d3.xlarge=61; i3.2xlarge=21; i3.large=29; i3.xlarge=0; m5.2xlarge=58; m5.large=28; m5.xlarge=69; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=26; r5.xlarge=58; r5a.2xlarge=54; r5a.large=61; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,CRITICALPATHREVERSE,2762.1899999999955,0, 54, 76, 58, 67, 58, 23, 30, 0, 61, 32, 75, 38, 0, 45, 80, 0, 34, 0, 29, 55, 53, 61, 43, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=76; c5a.xlarge=58; d3.2xlarge=67; d3.xlarge=58; i3.2xlarge=23; i3.large=30; i3.xlarge=0; m5.2xlarge=61; m5.large=32; m5.xlarge=75; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=29; r5.xlarge=55; r5a.2xlarge=53; r5a.large=61; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.15,40,0,RESHIV2,2763.979999999995,0, 63, 75, 63, 71, 55, 22, 26, 0, 58, 32, 69, 35, 0, 42, 79, 0, 33, 0, 28, 60, 44, 67, 47, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=63; c5a.2xlarge=75; c5a.xlarge=63; d3.2xlarge=71; d3.xlarge=55; i3.2xlarge=22; i3.large=26; i3.xlarge=0; m5.2xlarge=58; m5.large=32; m5.xlarge=69; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=79; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=28; r5.xlarge=60; r5a.2xlarge=44; r5a.large=67; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
