Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.1,40,0,MINMIN,3087.169999999994,0, 52, 90, 56, 75, 49, 17, 22, 0, 52, 21, 76, 41, 0, 51, 85, 0, 27, 0, 29, 55, 63, 56, 50, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=90; c5a.xlarge=56; d3.2xlarge=75; d3.xlarge=49; i3.2xlarge=17; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=21; m5.xlarge=76; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=51; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=29; r5.xlarge=55; r5a.2xlarge=63; r5a.large=56; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,MAXMIN,2835.989999999995,0, 59, 86, 58, 76, 51, 22, 23, 0, 51, 26, 73, 43, 0, 43, 86, 0, 31, 0, 27, 49, 59, 65, 42, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=86; c5a.xlarge=58; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=23; i3.xlarge=0; m5.2xlarge=51; m5.large=26; m5.xlarge=73; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=27; r5.xlarge=49; r5a.2xlarge=59; r5a.large=65; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,MCT,3060.3099999999945,0, 53, 88, 54, 76, 56, 26, 19, 0, 51, 26, 77, 42, 0, 39, 85, 0, 33, 0, 26, 51, 60, 70, 44, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=88; c5a.xlarge=54; d3.2xlarge=76; d3.xlarge=56; i3.2xlarge=26; i3.large=19; i3.xlarge=0; m5.2xlarge=51; m5.large=26; m5.xlarge=77; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=26; r5.xlarge=51; r5a.2xlarge=60; r5a.large=70; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,STATIC,3077.399999999995,0, 50, 92, 56, 77, 56, 23, 21, 0, 48, 27, 71, 39, 0, 44, 93, 0, 29, 0, 27, 53, 60, 65, 42, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=56; d3.2xlarge=77; d3.xlarge=56; i3.2xlarge=23; i3.large=21; i3.xlarge=0; m5.2xlarge=48; m5.large=27; m5.xlarge=71; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=60; r5a.large=65; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,NOML,3100.179999999994,0, 62, 79, 59, 47, 37, 24, 21, 0, 51, 33, 70, 54, 0, 58, 74, 0, 30, 0, 33, 58, 63, 64, 54, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=79; c5a.xlarge=59; d3.2xlarge=47; d3.xlarge=37; i3.2xlarge=24; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=33; m5.xlarge=70; m5a.2xlarge=54; m5a.large=0; m5a.xlarge=58; m5zn.2xlarge=74; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=33; r5.xlarge=58; r5a.2xlarge=63; r5a.large=64; r5a.xlarge=54; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,CUSTOMCLUSTERNOML,2827.5699999999947,0, 65, 84, 56, 80, 61, 31, 27, 0, 45, 26, 77, 45, 0, 43, 70, 0, 32, 0, 25, 54, 43, 57, 44, 0, 0, 35,{c5.2xlarge=0; c5.xlarge=65; c5a.2xlarge=84; c5a.xlarge=56; d3.2xlarge=80; d3.xlarge=61; i3.2xlarge=31; i3.large=27; i3.xlarge=0; m5.2xlarge=45; m5.large=26; m5.xlarge=77; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=25; r5.xlarge=54; r5a.2xlarge=43; r5a.large=57; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=35},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,TEXTDISTANCE,2839.9599999999946,0, 55, 65, 47, 68, 52, 21, 31, 0, 56, 36, 74, 52, 0, 47, 81, 0, 31, 0, 28, 41, 62, 72, 50, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=65; c5a.xlarge=47; d3.2xlarge=68; d3.xlarge=52; i3.2xlarge=21; i3.large=31; i3.xlarge=0; m5.2xlarge=56; m5.large=36; m5.xlarge=74; m5a.2xlarge=52; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=81; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=28; r5.xlarge=41; r5a.2xlarge=62; r5a.large=72; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,CRITICALPATH,2762.089999999995,0, 57, 77, 64, 67, 57, 25, 27, 0, 56, 31, 76, 32, 0, 40, 88, 0, 36, 0, 29, 51, 53, 57, 44, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=77; c5a.xlarge=64; d3.2xlarge=67; d3.xlarge=57; i3.2xlarge=25; i3.large=27; i3.xlarge=0; m5.2xlarge=56; m5.large=31; m5.xlarge=76; m5a.2xlarge=32; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=36; r5.2xlarge=0; r5.large=29; r5.xlarge=51; r5a.2xlarge=53; r5a.large=57; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,CRITICALPATHREVERSE,2762.109999999995,0, 57, 78, 59, 72, 59, 23, 30, 0, 58, 33, 74, 30, 0, 42, 83, 0, 31, 0, 29, 54, 46, 67, 44, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=78; c5a.xlarge=59; d3.2xlarge=72; d3.xlarge=59; i3.2xlarge=23; i3.large=30; i3.xlarge=0; m5.2xlarge=58; m5.large=33; m5.xlarge=74; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=29; r5.xlarge=54; r5a.2xlarge=46; r5a.large=67; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,RESHIV2,2764.1399999999953,0, 56, 80, 64, 73, 61, 26, 28, 0, 55, 31, 66, 42, 0, 40, 73, 0, 34, 0, 30, 60, 47, 59, 44, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=80; c5a.xlarge=64; d3.2xlarge=73; d3.xlarge=61; i3.2xlarge=26; i3.large=28; i3.xlarge=0; m5.2xlarge=55; m5.large=31; m5.xlarge=66; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=30; r5.xlarge=60; r5a.2xlarge=47; r5a.large=59; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
