Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.2,40,0,MINMIN,356.97,0, 59, 73, 56, 81, 47, 27, 22, 0, 47, 22, 78, 41, 0, 54, 70, 0, 24, 0, 19, 54, 72, 76, 55, 0, 0, 23,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=73; c5a.xlarge=56; d3.2xlarge=81; d3.xlarge=47; i3.2xlarge=27; i3.large=22; i3.xlarge=0; m5.2xlarge=47; m5.large=22; m5.xlarge=78; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=54; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=24; r5.2xlarge=0; r5.large=19; r5.xlarge=54; r5a.2xlarge=72; r5a.large=76; r5a.xlarge=55; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=23},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,MAXMIN,356.97,0, 47, 75, 51, 80, 39, 26, 24, 0, 55, 23, 76, 52, 0, 43, 74, 0, 29, 0, 29, 51, 75, 76, 49, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=47; c5a.2xlarge=75; c5a.xlarge=51; d3.2xlarge=80; d3.xlarge=39; i3.2xlarge=26; i3.large=24; i3.xlarge=0; m5.2xlarge=55; m5.large=23; m5.xlarge=76; m5a.2xlarge=52; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=74; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=29; r5.xlarge=51; r5a.2xlarge=75; r5a.large=76; r5a.xlarge=49; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,MCT,356.97,0, 47, 70, 47, 86, 42, 18, 27, 0, 57, 22, 71, 58, 0, 59, 68, 0, 25, 0, 23, 54, 64, 84, 50, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=47; c5a.2xlarge=70; c5a.xlarge=47; d3.2xlarge=86; d3.xlarge=42; i3.2xlarge=18; i3.large=27; i3.xlarge=0; m5.2xlarge=57; m5.large=22; m5.xlarge=71; m5a.2xlarge=58; m5a.large=0; m5a.xlarge=59; m5zn.2xlarge=68; m5zn.large=0; m5zn.xlarge=25; r5.2xlarge=0; r5.large=23; r5.xlarge=54; r5a.2xlarge=64; r5a.large=84; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,STATIC,447.14999999999947,0, 51, 84, 51, 74, 44, 29, 27, 0, 50, 22, 70, 42, 0, 44, 93, 0, 27, 0, 24, 43, 77, 73, 53, 0, 0, 22,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=84; c5a.xlarge=51; d3.2xlarge=74; d3.xlarge=44; i3.2xlarge=29; i3.large=27; i3.xlarge=0; m5.2xlarge=50; m5.large=22; m5.xlarge=70; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=43; r5a.2xlarge=77; r5a.large=73; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=22},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,NOML,356.97,0, 77, 85, 73, 41, 43, 31, 27, 0, 51, 36, 61, 44, 0, 46, 82, 0, 37, 0, 39, 50, 45, 49, 42, 0, 0, 41,{c5.2xlarge=0; c5.xlarge=77; c5a.2xlarge=85; c5a.xlarge=73; d3.2xlarge=41; d3.xlarge=43; i3.2xlarge=31; i3.large=27; i3.xlarge=0; m5.2xlarge=51; m5.large=36; m5.xlarge=61; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=37; r5.2xlarge=0; r5.large=39; r5.xlarge=50; r5a.2xlarge=45; r5a.large=49; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=41},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,CUSTOMCLUSTERNOML,356.97,0, 77, 97, 33, 52, 67, 33, 21, 0, 49, 28, 78, 37, 0, 39, 91, 0, 44, 0, 26, 58, 50, 42, 35, 0, 0, 43,{c5.2xlarge=0; c5.xlarge=77; c5a.2xlarge=97; c5a.xlarge=33; d3.2xlarge=52; d3.xlarge=67; i3.2xlarge=33; i3.large=21; i3.xlarge=0; m5.2xlarge=49; m5.large=28; m5.xlarge=78; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=44; r5.2xlarge=0; r5.large=26; r5.xlarge=58; r5a.2xlarge=50; r5a.large=42; r5a.xlarge=35; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=43},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,TEXTDISTANCE,356.97,0, 62, 64, 58, 61, 53, 30, 35, 0, 67, 33, 86, 42, 0, 30, 93, 0, 39, 0, 33, 53, 50, 44, 34, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=64; c5a.xlarge=58; d3.2xlarge=61; d3.xlarge=53; i3.2xlarge=30; i3.large=35; i3.xlarge=0; m5.2xlarge=67; m5.large=33; m5.xlarge=86; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=30; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=39; r5.2xlarge=0; r5.large=33; r5.xlarge=53; r5a.2xlarge=50; r5a.large=44; r5a.xlarge=34; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,CRITICALPATH,356.97,0, 72, 91, 69, 61, 49, 27, 30, 0, 43, 34, 59, 30, 0, 43, 85, 0, 48, 0, 39, 49, 41, 46, 38, 0, 0, 46,{c5.2xlarge=0; c5.xlarge=72; c5a.2xlarge=91; c5a.xlarge=69; d3.2xlarge=61; d3.xlarge=49; i3.2xlarge=27; i3.large=30; i3.xlarge=0; m5.2xlarge=43; m5.large=34; m5.xlarge=59; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=48; r5.2xlarge=0; r5.large=39; r5.xlarge=49; r5a.2xlarge=41; r5a.large=46; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=46},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,CRITICALPATHREVERSE,356.97,0, 75, 93, 75, 54, 72, 27, 21, 0, 45, 31, 60, 33, 0, 39, 84, 0, 43, 0, 41, 49, 44, 32, 38, 0, 0, 44,{c5.2xlarge=0; c5.xlarge=75; c5a.2xlarge=93; c5a.xlarge=75; d3.2xlarge=54; d3.xlarge=72; i3.2xlarge=27; i3.large=21; i3.xlarge=0; m5.2xlarge=45; m5.large=31; m5.xlarge=60; m5a.2xlarge=33; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=41; r5.xlarge=49; r5a.2xlarge=44; r5a.large=32; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=44},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.2,40,0,RESHIV2,356.97,0, 63, 88, 81, 66, 65, 31, 23, 0, 41, 36, 52, 50, 0, 26, 90, 0, 42, 0, 38, 51, 40, 40, 38, 0, 0, 39,{c5.2xlarge=0; c5.xlarge=63; c5a.2xlarge=88; c5a.xlarge=81; d3.2xlarge=66; d3.xlarge=65; i3.2xlarge=31; i3.large=23; i3.xlarge=0; m5.2xlarge=41; m5.large=36; m5.xlarge=52; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=26; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=42; r5.2xlarge=0; r5.large=38; r5.xlarge=51; r5a.2xlarge=40; r5a.large=40; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=39},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
