Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.05,40,0,MINMIN,2790.159999999992,0, 53, 85, 53, 80, 58, 17, 19, 0, 52, 26, 80, 38, 0, 48, 83, 0, 29, 0, 26, 51, 59, 70, 42, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=85; c5a.xlarge=53; d3.2xlarge=80; d3.xlarge=58; i3.2xlarge=17; i3.large=19; i3.xlarge=0; m5.2xlarge=52; m5.large=26; m5.xlarge=80; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=26; r5.xlarge=51; r5a.2xlarge=59; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,MAXMIN,2791.339999999995,0, 56, 89, 55, 76, 59, 18, 18, 0, 54, 27, 69, 42, 0, 41, 89, 0, 27, 0, 28, 57, 57, 71, 39, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=89; c5a.xlarge=55; d3.2xlarge=76; d3.xlarge=59; i3.2xlarge=18; i3.large=18; i3.xlarge=0; m5.2xlarge=54; m5.large=27; m5.xlarge=69; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=28; r5.xlarge=57; r5a.2xlarge=57; r5a.large=71; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,MCT,2795.999999999995,0, 55, 84, 53, 70, 59, 25, 22, 0, 51, 26, 82, 39, 0, 41, 88, 0, 34, 0, 26, 48, 58, 70, 45, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=84; c5a.xlarge=53; d3.2xlarge=70; d3.xlarge=59; i3.2xlarge=25; i3.large=22; i3.xlarge=0; m5.2xlarge=51; m5.large=26; m5.xlarge=82; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=26; r5.xlarge=48; r5a.2xlarge=58; r5a.large=70; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,STATIC,2829.759999999996,0, 52, 90, 59, 75, 60, 20, 22, 0, 50, 28, 74, 40, 0, 43, 90, 0, 29, 0, 28, 54, 54, 66, 38, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=90; c5a.xlarge=59; d3.2xlarge=75; d3.xlarge=60; i3.2xlarge=20; i3.large=22; i3.xlarge=0; m5.2xlarge=50; m5.large=28; m5.xlarge=74; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=28; r5.xlarge=54; r5a.2xlarge=54; r5a.large=66; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,NOML,3100.1999999999944,0, 58, 78, 59, 54, 42, 20, 19, 0, 58, 31, 68, 53, 0, 51, 70, 0, 31, 0, 33, 57, 56, 78, 53, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=78; c5a.xlarge=59; d3.2xlarge=54; d3.xlarge=42; i3.2xlarge=20; i3.large=19; i3.xlarge=0; m5.2xlarge=58; m5.large=31; m5.xlarge=68; m5a.2xlarge=53; m5a.large=0; m5a.xlarge=51; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=33; r5.xlarge=57; r5a.2xlarge=56; r5a.large=78; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,CUSTOMCLUSTERNOML,2827.649999999994,0, 61, 73, 58, 69, 54, 28, 27, 0, 54, 29, 77, 39, 0, 42, 86, 0, 33, 0, 24, 60, 38, 62, 50, 0, 0, 36,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=73; c5a.xlarge=58; d3.2xlarge=69; d3.xlarge=54; i3.2xlarge=28; i3.large=27; i3.xlarge=0; m5.2xlarge=54; m5.large=29; m5.xlarge=77; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=24; r5.xlarge=60; r5a.2xlarge=38; r5a.large=62; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=36},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,TEXTDISTANCE,2840.0999999999945,0, 54, 66, 49, 64, 56, 24, 31, 0, 53, 37, 72, 48, 0, 57, 78, 0, 30, 0, 33, 45, 59, 74, 38, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=66; c5a.xlarge=49; d3.2xlarge=64; d3.xlarge=56; i3.2xlarge=24; i3.large=31; i3.xlarge=0; m5.2xlarge=53; m5.large=37; m5.xlarge=72; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=57; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=33; r5.xlarge=45; r5a.2xlarge=59; r5a.large=74; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,CRITICALPATH,2761.9899999999952,0, 58, 72, 59, 71, 56, 25, 28, 0, 52, 32, 69, 43, 0, 37, 78, 0, 34, 0, 31, 58, 53, 68, 44, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=72; c5a.xlarge=59; d3.2xlarge=71; d3.xlarge=56; i3.2xlarge=25; i3.large=28; i3.xlarge=0; m5.2xlarge=52; m5.large=32; m5.xlarge=69; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=37; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=31; r5.xlarge=58; r5a.2xlarge=53; r5a.large=68; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,CRITICALPATHREVERSE,2762.0699999999956,0, 61, 79, 60, 70, 62, 24, 29, 0, 57, 35, 67, 39, 0, 36, 73, 0, 34, 0, 29, 57, 46, 68, 40, 0, 0, 34,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=79; c5a.xlarge=60; d3.2xlarge=70; d3.xlarge=62; i3.2xlarge=24; i3.large=29; i3.xlarge=0; m5.2xlarge=57; m5.large=35; m5.xlarge=67; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=29; r5.xlarge=57; r5a.2xlarge=46; r5a.large=68; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.05,40,0,RESHIV2,2764.1599999999958,0, 55, 79, 64, 73, 57, 24, 27, 0, 54, 29, 70, 36, 0, 41, 77, 0, 32, 0, 31, 57, 56, 59, 47, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=79; c5a.xlarge=64; d3.2xlarge=73; d3.xlarge=57; i3.2xlarge=24; i3.large=27; i3.xlarge=0; m5.2xlarge=54; m5.large=29; m5.xlarge=70; m5a.2xlarge=36; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=77; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=31; r5.xlarge=57; r5a.2xlarge=56; r5a.large=59; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
