Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,normal,0.2,40,0,MINMIN,356.97,0, 50, 76, 45, 77, 44, 27, 26, 0, 47, 23, 70, 50, 0, 53, 64, 0, 24, 0, 36, 51, 83, 76, 57, 0, 0, 21,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=76; c5a.xlarge=45; d3.2xlarge=77; d3.xlarge=44; i3.2xlarge=27; i3.large=26; i3.xlarge=0; m5.2xlarge=47; m5.large=23; m5.xlarge=70; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=53; m5zn.2xlarge=64; m5zn.large=0; m5zn.xlarge=24; r5.2xlarge=0; r5.large=36; r5.xlarge=51; r5a.2xlarge=83; r5a.large=76; r5a.xlarge=57; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=21},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,MAXMIN,356.97,0, 47, 67, 51, 75, 55, 31, 20, 0, 51, 28, 70, 54, 0, 51, 65, 0, 28, 0, 33, 41, 66, 96, 51, 0, 0, 20,{c5.2xlarge=0; c5.xlarge=47; c5a.2xlarge=67; c5a.xlarge=51; d3.2xlarge=75; d3.xlarge=55; i3.2xlarge=31; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=70; m5a.2xlarge=54; m5a.large=0; m5a.xlarge=51; m5zn.2xlarge=65; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=33; r5.xlarge=41; r5a.2xlarge=66; r5a.large=96; r5a.xlarge=51; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=20},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,MCT,356.97,0, 47, 74, 51, 85, 58, 32, 27, 0, 42, 28, 70, 44, 0, 56, 80, 0, 23, 0, 25, 48, 70, 76, 41, 0, 0, 23,{c5.2xlarge=0; c5.xlarge=47; c5a.2xlarge=74; c5a.xlarge=51; d3.2xlarge=85; d3.xlarge=58; i3.2xlarge=32; i3.large=27; i3.xlarge=0; m5.2xlarge=42; m5.large=28; m5.xlarge=70; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=56; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=23; r5.2xlarge=0; r5.large=25; r5.xlarge=48; r5a.2xlarge=70; r5a.large=76; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=23},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,STATIC,356.97,0, 43, 72, 39, 81, 59, 23, 25, 0, 58, 22, 74, 53, 0, 52, 75, 0, 19, 0, 28, 45, 73, 82, 51, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=43; c5a.2xlarge=72; c5a.xlarge=39; d3.2xlarge=81; d3.xlarge=59; i3.2xlarge=23; i3.large=25; i3.xlarge=0; m5.2xlarge=58; m5.large=22; m5.xlarge=74; m5a.2xlarge=53; m5a.large=0; m5a.xlarge=52; m5zn.2xlarge=75; m5zn.large=0; m5zn.xlarge=19; r5.2xlarge=0; r5.large=28; r5.xlarge=45; r5a.2xlarge=73; r5a.large=82; r5a.xlarge=51; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,NOML,356.97,0, 74, 102, 75, 45, 49, 25, 24, 0, 56, 32, 60, 41, 0, 36, 77, 0, 41, 0, 35, 47, 36, 57, 49, 0, 0, 39,{c5.2xlarge=0; c5.xlarge=74; c5a.2xlarge=102; c5a.xlarge=75; d3.2xlarge=45; d3.xlarge=49; i3.2xlarge=25; i3.large=24; i3.xlarge=0; m5.2xlarge=56; m5.large=32; m5.xlarge=60; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=77; m5zn.large=0; m5zn.xlarge=41; r5.2xlarge=0; r5.large=35; r5.xlarge=47; r5a.2xlarge=36; r5a.large=57; r5a.xlarge=49; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=39},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,CUSTOMCLUSTERNOML,356.97,0, 71, 85, 30, 52, 77, 34, 36, 0, 47, 28, 73, 35, 0, 39, 94, 0, 45, 0, 25, 56, 43, 38, 46, 0, 0, 46,{c5.2xlarge=0; c5.xlarge=71; c5a.2xlarge=85; c5a.xlarge=30; d3.2xlarge=52; d3.xlarge=77; i3.2xlarge=34; i3.large=36; i3.xlarge=0; m5.2xlarge=47; m5.large=28; m5.xlarge=73; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=94; m5zn.large=0; m5zn.xlarge=45; r5.2xlarge=0; r5.large=25; r5.xlarge=56; r5a.2xlarge=43; r5a.large=38; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=46},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,TEXTDISTANCE,356.97,0, 59, 69, 67, 56, 52, 33, 31, 0, 62, 39, 73, 47, 0, 42, 81, 0, 46, 0, 33, 43, 46, 44, 44, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=69; c5a.xlarge=67; d3.2xlarge=56; d3.xlarge=52; i3.2xlarge=33; i3.large=31; i3.xlarge=0; m5.2xlarge=62; m5.large=39; m5.xlarge=73; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=81; m5zn.large=0; m5zn.xlarge=46; r5.2xlarge=0; r5.large=33; r5.xlarge=43; r5a.2xlarge=46; r5a.large=44; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,CRITICALPATH,356.97,0, 68, 97, 73, 51, 55, 26, 33, 0, 52, 27, 59, 40, 0, 28, 97, 0, 47, 0, 38, 43, 35, 45, 39, 0, 0, 47,{c5.2xlarge=0; c5.xlarge=68; c5a.2xlarge=97; c5a.xlarge=73; d3.2xlarge=51; d3.xlarge=55; i3.2xlarge=26; i3.large=33; i3.xlarge=0; m5.2xlarge=52; m5.large=27; m5.xlarge=59; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=28; m5zn.2xlarge=97; m5zn.large=0; m5zn.xlarge=47; r5.2xlarge=0; r5.large=38; r5.xlarge=43; r5a.2xlarge=35; r5a.large=45; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=47},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,CRITICALPATHREVERSE,356.97,0, 65, 91, 89, 47, 57, 32, 27, 0, 41, 30, 62, 41, 0, 37, 93, 0, 41, 0, 37, 46, 38, 44, 35, 0, 0, 47,{c5.2xlarge=0; c5.xlarge=65; c5a.2xlarge=91; c5a.xlarge=89; d3.2xlarge=47; d3.xlarge=57; i3.2xlarge=32; i3.large=27; i3.xlarge=0; m5.2xlarge=41; m5.large=30; m5.xlarge=62; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=37; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=41; r5.2xlarge=0; r5.large=37; r5.xlarge=46; r5a.2xlarge=38; r5a.large=44; r5a.xlarge=35; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=47},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,RESHIV2,356.97,0, 68, 95, 79, 55, 59, 29, 31, 0, 38, 44, 53, 30, 0, 35, 83, 0, 45, 0, 37, 53, 42, 48, 34, 0, 0, 42,{c5.2xlarge=0; c5.xlarge=68; c5a.2xlarge=95; c5a.xlarge=79; d3.2xlarge=55; d3.xlarge=59; i3.2xlarge=29; i3.large=31; i3.xlarge=0; m5.2xlarge=38; m5.large=44; m5.xlarge=53; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=35; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=45; r5.2xlarge=0; r5.large=37; r5.xlarge=53; r5a.2xlarge=42; r5a.large=48; r5a.xlarge=34; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=42},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
