Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.15,40,0,MINMIN,356.97,0, 56, 73, 52, 76, 46, 25, 18, 0, 54, 28, 79, 44, 0, 42, 77, 0, 24, 0, 24, 56, 77, 61, 66, 0, 0, 22,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=73; c5a.xlarge=52; d3.2xlarge=76; d3.xlarge=46; i3.2xlarge=25; i3.large=18; i3.xlarge=0; m5.2xlarge=54; m5.large=28; m5.xlarge=79; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=77; m5zn.large=0; m5zn.xlarge=24; r5.2xlarge=0; r5.large=24; r5.xlarge=56; r5a.2xlarge=77; r5a.large=61; r5a.xlarge=66; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=22},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,MAXMIN,356.97,0, 41, 80, 54, 74, 42, 31, 27, 0, 57, 21, 72, 47, 0, 46, 76, 0, 35, 0, 30, 53, 66, 71, 50, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=41; c5a.2xlarge=80; c5a.xlarge=54; d3.2xlarge=74; d3.xlarge=42; i3.2xlarge=31; i3.large=27; i3.xlarge=0; m5.2xlarge=57; m5.large=21; m5.xlarge=72; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=76; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=30; r5.xlarge=53; r5a.2xlarge=66; r5a.large=71; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,MCT,356.97,0, 48, 72, 52, 85, 45, 20, 27, 0, 56, 19, 67, 61, 0, 59, 69, 0, 21, 0, 24, 54, 68, 75, 50, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=48; c5a.2xlarge=72; c5a.xlarge=52; d3.2xlarge=85; d3.xlarge=45; i3.2xlarge=20; i3.large=27; i3.xlarge=0; m5.2xlarge=56; m5.large=19; m5.xlarge=67; m5a.2xlarge=61; m5a.large=0; m5a.xlarge=59; m5zn.2xlarge=69; m5zn.large=0; m5zn.xlarge=21; r5.2xlarge=0; r5.large=24; r5.xlarge=54; r5a.2xlarge=68; r5a.large=75; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,STATIC,394.60999999999996,0, 52, 85, 44, 75, 48, 27, 24, 0, 55, 22, 75, 44, 0, 45, 89, 0, 27, 0, 20, 47, 68, 76, 54, 0, 0, 23,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=85; c5a.xlarge=44; d3.2xlarge=75; d3.xlarge=48; i3.2xlarge=27; i3.large=24; i3.xlarge=0; m5.2xlarge=55; m5.large=22; m5.xlarge=75; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=20; r5.xlarge=47; r5a.2xlarge=68; r5a.large=76; r5a.xlarge=54; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=23},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,NOML,356.97,0, 71, 88, 76, 53, 35, 29, 31, 0, 50, 34, 60, 51, 0, 43, 80, 0, 38, 0, 33, 53, 40, 55, 41, 0, 0, 39,{c5.2xlarge=0; c5.xlarge=71; c5a.2xlarge=88; c5a.xlarge=76; d3.2xlarge=53; d3.xlarge=35; i3.2xlarge=29; i3.large=31; i3.xlarge=0; m5.2xlarge=50; m5.large=34; m5.xlarge=60; m5a.2xlarge=51; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=38; r5.2xlarge=0; r5.large=33; r5.xlarge=53; r5a.2xlarge=40; r5a.large=55; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=39},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,CUSTOMCLUSTERNOML,356.97,0, 72, 84, 45, 56, 69, 31, 25, 0, 42, 27, 71, 45, 0, 31, 97, 0, 44, 0, 26, 68, 41, 46, 31, 0, 0, 49,{c5.2xlarge=0; c5.xlarge=72; c5a.2xlarge=84; c5a.xlarge=45; d3.2xlarge=56; d3.xlarge=69; i3.2xlarge=31; i3.large=25; i3.xlarge=0; m5.2xlarge=42; m5.large=27; m5.xlarge=71; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=31; m5zn.2xlarge=97; m5zn.large=0; m5zn.xlarge=44; r5.2xlarge=0; r5.large=26; r5.xlarge=68; r5a.2xlarge=41; r5a.large=46; r5a.xlarge=31; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=49},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,TEXTDISTANCE,356.97,0, 51, 76, 59, 48, 53, 33, 30, 0, 60, 36, 74, 47, 0, 46, 89, 0, 40, 0, 33, 56, 35, 45, 50, 0, 0, 39,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=76; c5a.xlarge=59; d3.2xlarge=48; d3.xlarge=53; i3.2xlarge=33; i3.large=30; i3.xlarge=0; m5.2xlarge=60; m5.large=36; m5.xlarge=74; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=40; r5.2xlarge=0; r5.large=33; r5.xlarge=56; r5a.2xlarge=35; r5a.large=45; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=39},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,CRITICALPATH,356.97,0, 62, 95, 77, 53, 69, 30, 26, 0, 42, 35, 56, 37, 0, 39, 86, 0, 43, 0, 33, 52, 48, 36, 36, 0, 0, 45,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=95; c5a.xlarge=77; d3.2xlarge=53; d3.xlarge=69; i3.2xlarge=30; i3.large=26; i3.xlarge=0; m5.2xlarge=42; m5.large=35; m5.xlarge=56; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=33; r5.xlarge=52; r5a.2xlarge=48; r5a.large=36; r5a.xlarge=36; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=45},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,CRITICALPATHREVERSE,356.97,0, 60, 89, 74, 44, 68, 29, 24, 0, 43, 43, 55, 41, 0, 36, 94, 0, 37, 0, 41, 48, 50, 43, 41, 0, 0, 40,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=89; c5a.xlarge=74; d3.2xlarge=44; d3.xlarge=68; i3.2xlarge=29; i3.large=24; i3.xlarge=0; m5.2xlarge=43; m5.large=43; m5.xlarge=55; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=94; m5zn.large=0; m5zn.xlarge=37; r5.2xlarge=0; r5.large=41; r5.xlarge=48; r5a.2xlarge=50; r5a.large=43; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=40},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,RESHIV2,356.97,0, 67, 86, 78, 56, 61, 30, 26, 0, 46, 34, 53, 34, 0, 42, 90, 0, 43, 0, 31, 54, 36, 47, 38, 0, 0, 48,{c5.2xlarge=0; c5.xlarge=67; c5a.2xlarge=86; c5a.xlarge=78; d3.2xlarge=56; d3.xlarge=61; i3.2xlarge=30; i3.large=26; i3.xlarge=0; m5.2xlarge=46; m5.large=34; m5.xlarge=53; m5a.2xlarge=34; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=31; r5.xlarge=54; r5a.2xlarge=36; r5a.large=47; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=48},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
