Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.1,40,0,MINMIN,2787.4099999999944,0, 60, 88, 60, 71, 61, 19, 17, 0, 53, 23, 76, 40, 0, 39, 89, 0, 32, 0, 26, 54, 47, 69, 46, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=88; c5a.xlarge=60; d3.2xlarge=71; d3.xlarge=61; i3.2xlarge=19; i3.large=17; i3.xlarge=0; m5.2xlarge=53; m5.large=23; m5.xlarge=76; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=26; r5.xlarge=54; r5a.2xlarge=47; r5a.large=69; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,MAXMIN,2786.979999999996,0, 54, 87, 61, 83, 62, 18, 19, 0, 44, 27, 80, 35, 0, 47, 82, 0, 33, 0, 28, 45, 58, 67, 40, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=87; c5a.xlarge=61; d3.2xlarge=83; d3.xlarge=62; i3.2xlarge=18; i3.large=19; i3.xlarge=0; m5.2xlarge=44; m5.large=27; m5.xlarge=80; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=28; r5.xlarge=45; r5a.2xlarge=58; r5a.large=67; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,MCT,2769.0999999999963,0, 62, 78, 58, 72, 59, 19, 23, 0, 53, 28, 82, 37, 0, 42, 86, 0, 34, 0, 18, 50, 57, 71, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=78; c5a.xlarge=58; d3.2xlarge=72; d3.xlarge=59; i3.2xlarge=19; i3.large=23; i3.xlarge=0; m5.2xlarge=53; m5.large=28; m5.xlarge=82; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=18; r5.xlarge=50; r5a.2xlarge=57; r5a.large=71; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,STATIC,2784.169999999994,0, 54, 83, 56, 76, 56, 17, 25, 0, 56, 28, 82, 40, 0, 43, 90, 0, 26, 0, 24, 53, 53, 70, 40, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=83; c5a.xlarge=56; d3.2xlarge=76; d3.xlarge=56; i3.2xlarge=17; i3.large=25; i3.xlarge=0; m5.2xlarge=56; m5.large=28; m5.xlarge=82; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=26; r5.2xlarge=0; r5.large=24; r5.xlarge=53; r5a.2xlarge=53; r5a.large=70; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,NOML,3100.229999999994,0, 59, 73, 64, 50, 41, 23, 23, 0, 56, 32, 71, 49, 0, 48, 82, 0, 28, 0, 30, 50, 71, 64, 55, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=73; c5a.xlarge=64; d3.2xlarge=50; d3.xlarge=41; i3.2xlarge=23; i3.large=23; i3.xlarge=0; m5.2xlarge=56; m5.large=32; m5.xlarge=71; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=30; r5.xlarge=50; r5a.2xlarge=71; r5a.large=64; r5a.xlarge=55; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,CUSTOMCLUSTERNOML,2827.479999999994,0, 57, 85, 48, 75, 63, 31, 29, 0, 51, 28, 83, 33, 0, 39, 81, 0, 31, 0, 25, 56, 47, 62, 43, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=85; c5a.xlarge=48; d3.2xlarge=75; d3.xlarge=63; i3.2xlarge=31; i3.large=29; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=83; m5a.2xlarge=33; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=81; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=25; r5.xlarge=56; r5a.2xlarge=47; r5a.large=62; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,TEXTDISTANCE,2840.0699999999943,0, 54, 73, 53, 62, 47, 24, 30, 0, 58, 31, 75, 49, 0, 50, 78, 0, 29, 0, 30, 48, 63, 73, 43, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=73; c5a.xlarge=53; d3.2xlarge=62; d3.xlarge=47; i3.2xlarge=24; i3.large=30; i3.xlarge=0; m5.2xlarge=58; m5.large=31; m5.xlarge=75; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=30; r5.xlarge=48; r5a.2xlarge=63; r5a.large=73; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,CRITICALPATH,2762.049999999995,0, 58, 83, 59, 74, 60, 21, 28, 0, 56, 29, 71, 30, 0, 35, 87, 0, 34, 0, 30, 59, 43, 70, 42, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=83; c5a.xlarge=59; d3.2xlarge=74; d3.xlarge=60; i3.2xlarge=21; i3.large=28; i3.xlarge=0; m5.2xlarge=56; m5.large=29; m5.xlarge=71; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=35; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=30; r5.xlarge=59; r5a.2xlarge=43; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,CRITICALPATHREVERSE,2762.129999999995,0, 60, 80, 52, 72, 51, 21, 32, 0, 54, 33, 77, 31, 0, 44, 87, 0, 32, 0, 30, 61, 42, 64, 44, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=80; c5a.xlarge=52; d3.2xlarge=72; d3.xlarge=51; i3.2xlarge=21; i3.large=32; i3.xlarge=0; m5.2xlarge=54; m5.large=33; m5.xlarge=77; m5a.2xlarge=31; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=30; r5.xlarge=61; r5a.2xlarge=42; r5a.large=64; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.1,40,0,RESHIV2,2764.1599999999953,0, 55, 74, 58, 71, 61, 21, 26, 0, 57, 32, 75, 38, 0, 42, 86, 0, 34, 0, 31, 60, 42, 64, 42, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=74; c5a.xlarge=58; d3.2xlarge=71; d3.xlarge=61; i3.2xlarge=21; i3.large=26; i3.xlarge=0; m5.2xlarge=57; m5.large=32; m5.xlarge=75; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=31; r5.xlarge=60; r5a.2xlarge=42; r5a.large=64; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
