Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.05,40,0,MINMIN,356.97,0, 61, 83, 54, 76, 37, 30, 28, 0, 47, 21, 71, 51, 0, 44, 65, 0, 22, 0, 23, 48, 86, 71, 58, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=83; c5a.xlarge=54; d3.2xlarge=76; d3.xlarge=37; i3.2xlarge=30; i3.large=28; i3.xlarge=0; m5.2xlarge=47; m5.large=21; m5.xlarge=71; m5a.2xlarge=51; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=65; m5zn.large=0; m5zn.xlarge=22; r5.2xlarge=0; r5.large=23; r5.xlarge=48; r5a.2xlarge=86; r5a.large=71; r5a.xlarge=58; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,MAXMIN,356.97,0, 54, 67, 50, 66, 40, 27, 27, 0, 62, 25, 73, 66, 0, 51, 76, 0, 24, 0, 27, 55, 66, 79, 45, 0, 0, 20,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=67; c5a.xlarge=50; d3.2xlarge=66; d3.xlarge=40; i3.2xlarge=27; i3.large=27; i3.xlarge=0; m5.2xlarge=62; m5.large=25; m5.xlarge=73; m5a.2xlarge=66; m5a.large=0; m5a.xlarge=51; m5zn.2xlarge=76; m5zn.large=0; m5zn.xlarge=24; r5.2xlarge=0; r5.large=27; r5.xlarge=55; r5a.2xlarge=66; r5a.large=79; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=20},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,MCT,356.97,0, 47, 64, 54, 87, 47, 22, 25, 0, 56, 19, 69, 62, 0, 61, 71, 0, 20, 0, 24, 59, 67, 74, 47, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=47; c5a.2xlarge=64; c5a.xlarge=54; d3.2xlarge=87; d3.xlarge=47; i3.2xlarge=22; i3.large=25; i3.xlarge=0; m5.2xlarge=56; m5.large=19; m5.xlarge=69; m5a.2xlarge=62; m5a.large=0; m5a.xlarge=61; m5zn.2xlarge=71; m5zn.large=0; m5zn.xlarge=20; r5.2xlarge=0; r5.large=24; r5.xlarge=59; r5a.2xlarge=67; r5a.large=74; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,STATIC,356.97,0, 52, 83, 43, 75, 46, 27, 25, 0, 55, 22, 77, 43, 0, 47, 88, 0, 29, 0, 21, 47, 69, 74, 53, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=83; c5a.xlarge=43; d3.2xlarge=75; d3.xlarge=46; i3.2xlarge=27; i3.large=25; i3.xlarge=0; m5.2xlarge=55; m5.large=22; m5.xlarge=77; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=21; r5.xlarge=47; r5a.2xlarge=69; r5a.large=74; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,NOML,356.97,0, 82, 86, 77, 39, 44, 30, 32, 0, 61, 36, 64, 34, 0, 41, 84, 0, 44, 0, 35, 50, 34, 51, 40, 0, 0, 36,{c5.2xlarge=0; c5.xlarge=82; c5a.2xlarge=86; c5a.xlarge=77; d3.2xlarge=39; d3.xlarge=44; i3.2xlarge=30; i3.large=32; i3.xlarge=0; m5.2xlarge=61; m5.large=36; m5.xlarge=64; m5a.2xlarge=34; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=44; r5.2xlarge=0; r5.large=35; r5.xlarge=50; r5a.2xlarge=34; r5a.large=51; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=36},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,CUSTOMCLUSTERNOML,356.97,0, 65, 79, 44, 66, 71, 28, 30, 0, 46, 27, 76, 37, 0, 34, 103, 0, 48, 0, 30, 50, 41, 41, 37, 0, 0, 47,{c5.2xlarge=0; c5.xlarge=65; c5a.2xlarge=79; c5a.xlarge=44; d3.2xlarge=66; d3.xlarge=71; i3.2xlarge=28; i3.large=30; i3.xlarge=0; m5.2xlarge=46; m5.large=27; m5.xlarge=76; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=34; m5zn.2xlarge=103; m5zn.large=0; m5zn.xlarge=48; r5.2xlarge=0; r5.large=30; r5.xlarge=50; r5a.2xlarge=41; r5a.large=41; r5a.xlarge=37; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=47},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,TEXTDISTANCE,356.97,0, 59, 73, 60, 48, 50, 35, 38, 0, 54, 28, 88, 40, 0, 49, 88, 0, 40, 0, 31, 56, 49, 41, 41, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=73; c5a.xlarge=60; d3.2xlarge=48; d3.xlarge=50; i3.2xlarge=35; i3.large=38; i3.xlarge=0; m5.2xlarge=54; m5.large=28; m5.xlarge=88; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=40; r5.2xlarge=0; r5.large=31; r5.xlarge=56; r5a.2xlarge=49; r5a.large=41; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,CRITICALPATH,356.97,0, 72, 79, 72, 61, 61, 26, 31, 0, 39, 37, 61, 28, 0, 36, 91, 0, 45, 0, 38, 57, 40, 50, 43, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=72; c5a.2xlarge=79; c5a.xlarge=72; d3.2xlarge=61; d3.xlarge=61; i3.2xlarge=26; i3.large=31; i3.xlarge=0; m5.2xlarge=39; m5.large=37; m5.xlarge=61; m5a.2xlarge=28; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=45; r5.2xlarge=0; r5.large=38; r5.xlarge=57; r5a.2xlarge=40; r5a.large=50; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,CRITICALPATHREVERSE,356.97,0, 76, 94, 72, 46, 62, 34, 26, 0, 43, 39, 58, 40, 0, 42, 93, 0, 41, 0, 37, 54, 36, 27, 39, 0, 0, 41,{c5.2xlarge=0; c5.xlarge=76; c5a.2xlarge=94; c5a.xlarge=72; d3.2xlarge=46; d3.xlarge=62; i3.2xlarge=34; i3.large=26; i3.xlarge=0; m5.2xlarge=43; m5.large=39; m5.xlarge=58; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=41; r5.2xlarge=0; r5.large=37; r5.xlarge=54; r5a.2xlarge=36; r5a.large=27; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=41},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,RESHIV2,356.97,0, 66, 87, 78, 55, 54, 26, 29, 0, 47, 35, 65, 36, 0, 40, 95, 0, 44, 0, 34, 51, 37, 36, 43, 0, 0, 42,{c5.2xlarge=0; c5.xlarge=66; c5a.2xlarge=87; c5a.xlarge=78; d3.2xlarge=55; d3.xlarge=54; i3.2xlarge=26; i3.large=29; i3.xlarge=0; m5.2xlarge=47; m5.large=35; m5.xlarge=65; m5a.2xlarge=36; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=95; m5zn.large=0; m5zn.xlarge=44; r5.2xlarge=0; r5.large=34; r5.xlarge=51; r5a.2xlarge=37; r5a.large=36; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=42},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
